t,a
0.2,100
0.4,80.53349
0.6,102.2137
0.8,98.94358
1,99.25291
1.2,98.82176
1.4,99.23411
1.6,100.6467
1.8,97.39614
2,98.2173
2.2,98.66004
2.4,99.63792
2.6,98.01238
2.8,98.46302
3,99.64364
3.2,97.66459
3.4,99.89252
3.6,99.13952
3.8,99.3197
4,98.68739
4.2,97.65735
4.4,97.00784
4.6,98.71336
4.8,99.2282
5,99.18958
5.2,98.3321
5.4,100.0191
5.6,98.50878
5.8,97.8736
6,98.33465
6.2,97.56631
6.4,98.82271
6.6,99.64484
6.8,99.08112
7,98.24226
7.2,96.5862
7.4,97.26337
7.6,98.25615
7.8,97.72961
8,99.1418
8.2,98.37341
8.4,96.23209
8.6,98.25204
8.8,98.241
9,99.27646
9.2,97.56451
9.4,97.69567
9.6,95.81078
9.8,96.87945
10,95.79988
10.2,97.09913
10.4,96.4213
10.6,95.86639
10.8,97.10368
11,96.22119
11.2,98.28341
11.4,99.19677
11.6,97.07582
11.8,97.15922
12,94.87243
12.2,98.28201
12.4,96.11464
12.6,97.08325
12.8,96.44496
13,96.94376
13.2,96.46777
13.4,96.63884
13.6,95.3981
13.8,96.5489
14,94.88191
14.2,96.21583
14.4,96.46112
14.6,95.95426
14.8,96.51263
15,97.02615
15.2,94.50144
15.4,94.5944
15.6,95.38434
15.8,96.38671
16,96.25864
16.2,95.51208
16.4,96.40204
16.6,97.85526
16.8,94.65205
17,94.83965
17.2,93.81044
17.4,95.72879
17.6,96.34476
17.8,95.1333
18,96.54974
18.2,95.18307
18.4,95.61333
18.6,96.33855
18.8,95.86768
19,95.5506
19.2,96.61659
19.4,94.23132
19.6,94.63595
19.8,95.35223
20,94.65433
20.2,94.40287
20.4,95.64248
20.6,94.36984
20.8,95.22794
21,94.60491
21.2,94.30791
21.4,95.15641
21.6,94.9457
21.8,92.63637
22,94.22652
22.2,93.44247
22.4,94.58849
22.6,93.71468
22.8,94.37354
23,95.59685
23.2,96.00063
23.4,95.05303
23.6,92.61201
23.8,95.63297
24,95.19653
24.2,94.33059
24.4,96.46335
24.6,93.52766
24.8,95.73806
25,92.79367
25.2,93.45874
25.4,92.63925
25.6,94.33028
25.8,94.08749
26,93.02824
26.2,92.22842
26.4,90.89374
26.6,92.59372
26.8,92.06882
27,94.12048
27.2,94.49288
27.4,91.36938
27.6,91.58028
27.8,92.80488
28,94.18734
28.2,94.44942
28.4,94.62293
28.6,92.71234
28.8,92.40742
29,91.98762
29.2,93.52867
29.4,93.69894
29.6,91.36043
29.8,92.70721
30,92.27222
30.2,93.36222
30.4,93.86052
30.6,93.87275
30.8,93.11736
31,92.16783
31.2,92.0656
