t,a
6,100
12,80.0892
18,96.75573
24,95.85774
30,92.08048
36,91.39281
42,87.30824
48,85.24834
54,83.43423
60,83.32719
66,81.60014
72,78.67117
78,75.98432
84,75.08712
90,74.9943
96,74.25803
102,73.82513
108,71.36523
114,70.04272
120,67.76257
126,65.91889
132,63.40153
138,64.49232
144,61.5998
150,59.13937
156,61.87584
162,59.5065
168,58.9143
174,56.29899
180,56.18364
186,55.48885
192,56.57776
198,53.9944
204,51.6288
210,51.07055
216,49.29087
222,50.56018
228,48.16055
234,48.99195
240,46.48607
246,45.81581
252,44.00246
258,43.4713
264,44.60331
270,43.75991
276,41.92707
282,42.46471
288,40.87904
294,38.59961
300,38.41078
306,37.94464
312,37.74916
318,37.71287
324,37.09725
330,35.6722
336,36.05472
342,34.13276
348,34.91037
354,32.15855
360,33.32029
366,33.83823
372,32.53048
378,33.24294
384,31.06626
390,30.9961
396,29.83943
402,29.51262
408,29.97353
414,29.17871
420,26.77954
426,27.73966
432,27.87101
438,26.40574
444,25.4293
450,26.21552
456,26.26249
462,26.12103
468,27.18362
474,25.39944
480,24.36256
486,24.05097
492,23.90833
498,23.31418
504,22.05649
510,20.21839
516,21.62165
522,19.76848
528,20.72655
534,20.06523
540,20.07602
546,21.52726
552,20.81701
558,21.29199
564,18.61402
570,16.94941
576,19.76761
582,18.68301
588,18.12864
594,16.41756
600,17.51949
606,16.31569
612,16.7553
618,15.95434
624,15.93181
630,17.86214
636,17.97514
642,15.22147
648,15.00133
654,15.99924
660,15.87888
666,13.27494
672,13.85595
678,13.27574
684,14.6682
690,15.27941
696,13.40911
702,14.18637
708,12.63313
714,12.72465
720,14.25277
726,12.97757
732,13.14077
738,13.27312
744,11.13976
750,12.85961
756,11.07622
762,12.63217
768,12.36407
774,12.64182
780,11.55728
786,11.71421
792,10.34279
798,9.131999
804,9.932401
810,10.96834
816,9.659995
822,10.08187
828,10.87558
834,11.22003
840,9.417454
846,8.512298
852,8.486891
858,10.9339
864,7.057838
870,8.972108
876,8.300849
882,8.396742
888,6.573014
894,6.750814
900,9.668876
906,6.200897
912,9.343925
918,7.389081
924,7.335506
930,7.088727
936,6.41344
942,7.920363
948,6.761942
954,7.370123
960,7.836467
966,7.105744
972,6.625057
978,7.849842
984,5.26728
990,5.364281
996,6.054983
1002,4.291149
1008,6.630379
1014,5.35625
1020,5.499945
1026,5.171777
1032,7.636558
1038,4.946865
1044,5.446106
1050,4.871508
1056,5.443146
1062,5.238037
1068,5.842556
1074,3.828503
1080,4.587488
1086,3.035127
1092,5.034274
1098,5.628082
1104,5.020864
1110,3.698888
1116,4.974985
1122,3.858401
1128,4.156892
1134,4.734813
1140,2.551776
1146,3.225146
1152,3.60604
1158,4.256238
1164,3.705809
1170,3.715983
1176,3.335865
1182,5.596147
1188,4.035132
1194,2.695668
1200,4.037699
1206,1.43969
