t,a
0.2,0.6598937
0.4,0.6741669
0.6,0.6564998
0.8,0.6726205
1.0,0.6523144
1.2,0.6726492
1.4,0.6523808
1.6,0.6714186
1.8,0.6524514
2.0,0.6693159
2.2,0.6550842
2.4,0.6678837
2.6,0.6570619
2.8,0.6655685
3.0,0.6571569
3.2,0.6620144
3.4,0.6583505
3.6,0.6616577
3.8,0.6581936
4.0,0.6598156
4.2,0.6554526
4.4,0.6586159
4.6,0.6555177
4.8,0.6583268
5.0,0.6553249
5.2,0.6556517
5.4,0.6541287
5.6,0.6534293
5.8,0.6568484
6.0,0.6497442
6.2,0.6565193
6.4,0.6483341
6.6,0.6570674
6.8,0.6470835
7.0,0.6566511
7.2,0.6477816
7.4,0.6557091
7.6,0.6487132
7.8,0.6542297
8.0,0.647985
8.2,0.6527894
8.4,0.6484889
8.6,0.6504169
8.8,0.6448111
9.0,0.6526588
9.2,0.6431028
9.4,0.6515397
9.6,0.6410408
9.8,0.6510764
10.0,0.6406282
10.2,0.6498386
10.4,0.6415074
10.6,0.6503917
10.8,0.6432985
11.0,0.6477139
11.2,0.6423345
11.4,0.6461418
11.6,0.6420497
11.8,0.6473534
12.0,0.6424386
12.2,0.6455949
12.4,0.636966
12.6,0.6482921
12.8,0.6368881
13.0,0.6474646
13.2,0.636834
13.4,0.6457662
13.6,0.6363855
13.8,0.6439239
14.0,0.6379644
14.2,0.64345
14.4,0.6389302
14.6,0.6401321
14.8,0.638926
15.0,0.6425367
15.2,0.6367818
15.4,0.6423289
15.6,0.6325741
15.8,0.6424781
16.0,0.6318958
16.2,0.6446648
16.4,0.6306935
16.6,0.6409893
16.8,0.6316069
17.0,0.6414065
17.2,0.632174
17.4,0.639073
17.6,0.6330046
17.8,0.6377438
18.0,0.6348452
18.2,0.6386423
18.4,0.6332103
18.6,0.6379306
18.8,0.6290948
19.0,0.638074
19.2,0.6290675
19.4,0.6372756
19.6,0.6268497
19.8,0.6372365
20.0,0.6276214
20.2,0.6365475
20.4,0.6279241
20.6,0.634969
20.8,0.6288146
21.0,0.6334227
21.2,0.6313415
21.4,0.6340459
21.6,0.6298069
21.8,0.6329571
22.0,0.6266241
22.2,0.6339111
22.4,0.6242215
22.6,0.6336366
22.8,0.6238732
23.0,0.6340157
23.2,0.6233221
23.4,0.6325478
23.6,0.6243485
23.8,0.6303083
24.0,0.6251753
24.2,0.6320965
24.4,0.626005
24.6,0.6299947
24.8,0.6228369
25.0,0.6287618
25.2,0.620959
25.4,0.6303164
25.6,0.6197007
25.8,0.6298353
26.0,0.6184272
26.2,0.6298746
26.4,0.6206119
26.6,0.6277182
26.8,0.6195983
27.0,0.6258847
27.2,0.621831
27.4,0.6259925
27.6,0.6201524
27.8,0.6265761
28.0,0.6197236
28.2,0.6260366
28.4,0.6174006
28.6,0.6251491
28.8,0.6163371
29.0,0.6254421
29.2,0.6125925
29.4,0.6257435
29.6,0.6146067
29.8,0.6259875
30.0,0.6159428
30.2,0.6216023
30.4,0.6169967
30.6,0.6237243
30.8,0.6169126
31.0,0.6205927
31.2,0.6169919
31.4,0.6207548
31.6,0.6147466
31.8,0.6212442
32.0,0.6115227
32.2,0.6218782
32.4,0.6102843
32.6,0.6227525
32.8,0.6123056
33.0,0.619536
33.2,0.6113952
33.4,0.6191088
33.6,0.6134974
33.8,0.6184679
34.0,0.6121318
34.2,0.6174175
34.4,0.6121814
34.6,0.6171064
34.8,0.612382
35.0,0.6185122
35.2,0.6080476
35.4,0.6174614
35.6,0.6072311
35.8,0.6174672
36.0,0.6065607
36.2,0.6154269
36.4,0.6072521
36.6,0.6162184
36.8,0.6099879
37.0,0.6132605
37.2,0.6094083
37.4,0.6129796
37.6,0.6098606
37.8,0.6125836
38.0,0.6086716
38.2,0.6135961
38.4,0.6044803
38.6,0.6131317
38.8,0.6047384
39.0,0.6146679
39.2,0.6044182
39.4,0.6122175
39.6,0.6039113
39.8,0.6108201
40.0,0.6062247
40.2,0.6102962
40.4,0.6071338
40.6,0.608754
40.8,0.6047562
41.0,0.6095698
41.2,0.6063059
41.4,0.6094099
41.6,0.600828
41.8,0.6097246
42.0,0.59948
42.2,0.611956
42.4,0.5995949
42.6,0.6092706
42.8,0.5995245
43.0,0.6071159
43.2,0.6010867
43.4,0.6068638
43.6,0.6024052
43.8,0.60456
44.0,0.6019823
44.2,0.6047927
44.4,0.6019563
44.6,0.6059468
44.8,0.5989577
45.0,0.6051584
45.2,0.5967185
45.4,0.6068994
45.6,0.5966033
45.8,0.6050605
46.0,0.5954014
46.2,0.6057476
46.4,0.5979678
46.6,0.6028992
46.8,0.5980741
47.0,0.6016856
47.2,0.5983852
47.4,0.6013854
47.6,0.5974695
47.8,0.6017683
48.0,0.593525
48.2,0.6031518
48.4,0.592309
48.6,0.6022543
48.8,0.5931288
49.0,0.6028465
49.2,0.5923666
49.4,0.6022787
49.6,0.5947895
49.8,0.5995505
50.0,0.5951462
50.2,0.5991887
50.4,0.5942848
50.6,0.597258
50.8,0.5941591
51.0,0.5983818
51.2,0.5924384
51.4,0.5985242
51.6,0.5921559
51.8,0.5992897
52.0,0.589448
52.2,0.5971161
52.4,0.5899311
52.6,0.5969549
52.8,0.5911555
53.0,0.5950094
53.2,0.5929633
53.4,0.5966731
53.6,0.5921341
53.8,0.5948776
54.0,0.5879475
54.2,0.5937359
54.4,0.5866236
54.6,0.5940653
54.8,0.5864713
55.0,0.5965139
55.2,0.5858378
55.4,0.5951933
55.6,0.5863846
55.8,0.5946271
56.0,0.5876942
56.2,0.5914835
56.4,0.5878486
56.6,0.5910713
56.8,0.5895112
57.0,0.5899518
57.2,0.5886531
57.4,0.5927745
57.6,0.5863314
57.8,0.5926239
58.0,0.5819985
58.2,0.5925588
58.4,0.5821088
58.6,0.5924408
58.8,0.5826888
59.0,0.5919325
59.2,0.5837178
59.4,0.5903618
59.6,0.5843117
59.8,0.5895341
60.0,0.5869727
60.2,0.587462
60.4,0.5829163
60.6,0.5867539
60.8,0.5820987
61.0,0.5890906
61.2,0.5798404
61.4,0.5875851
61.6,0.5792911
61.8,0.5887052
62.0,0.5785957
62.2,0.588864
62.4,0.5798994
62.6,0.5878137
62.8,0.5804394
63.0,0.5862619
63.2,0.5813758
63.4,0.5850926
63.6,0.5802069
63.8,0.5833204
64.0,0.5799237
64.2,0.5850031
64.4,0.5769921
64.6,0.5859912
64.8,0.576274
65.0,0.5851339
65.2,0.5748665
65.4,0.5827194
65.6,0.5763343
65.8,0.5827101
66.0,0.5785086
66.2,0.5816678
66.4,0.5777505
66.6,0.5808125
66.8,0.5780963
67.0,0.5810879
67.2,0.5760103
67.4,0.5818523
67.6,0.5733629
67.8,0.5821898
68.0,0.5734524
68.2,0.5817557
68.4,0.572372
68.6,0.5804759
68.8,0.5735868
69.0,0.5810657
69.2,0.574152
69.4,0.5780898
69.6,0.5734474
69.8,0.5764513
70.0,0.5744454
70.2,0.5773016
70.4,0.5723815
70.6,0.5773514
70.8,0.5688634
71.0,0.5777483
71.2,0.5676954
71.4,0.5816554
71.6,0.5672556
71.8,0.5773584
72.0,0.569168
72.2,0.5788636
72.4,0.5692655
72.6,0.5747145
72.8,0.5707607
73.0,0.5738462
73.2,0.5699881
73.4,0.5751017
73.6,0.5690336
73.8,0.5746632
74.0,0.5668158
74.2,0.5744875
74.4,0.5657005
74.6,0.5754046
74.8,0.563756
75.0,0.5745078
75.2,0.5652691
75.4,0.5752348
75.6,0.5667118
75.8,0.5723212
76.0,0.5675157
76.2,0.5705304
76.4,0.5687341
76.6,0.5726583
76.8,0.5661459
77.0,0.5715881
77.2,0.563103
77.4,0.5717311
77.6,0.562206
77.8,0.5711914
78.0,0.5612256
78.2,0.5711018
78.4,0.5613038
78.6,0.5720905
78.8,0.5642485
79.0,0.5691928
79.2,0.5639619
79.4,0.5692126
79.6,0.5640281
79.8,0.5674257
80.0,0.5630577
80.2,0.5682422
80.4,0.5605797
80.6,0.5682332
80.8,0.5597188
81.0,0.568767
81.2,0.5583931
81.4,0.569109
81.6,0.5593938
81.8,0.5672635
82.0,0.5600238
82.2,0.5632519
82.4,0.5610434
82.6,0.5647334
82.8,0.5642
83.0,0.564101
83.2,0.5584652
83.4,0.5650631
83.6,0.5593749
83.8,0.5651134
84.0,0.5562225
84.2,0.5667079
84.4,0.5544401
84.6,0.5669181
84.8,0.5556875
85.0,0.5656871
85.2,0.5564487
85.4,0.5614771
85.6,0.5583486
85.8,0.5621909
86.0,0.5587775
86.2,0.5597158
86.4,0.5579245
86.6,0.5607517
86.8,0.5560076
87.0,0.5630127
87.2,0.5530962
87.4,0.5624862
87.6,0.5508412
87.8,0.5623862
88.0,0.5517958
88.2,0.5624714
88.4,0.5531793
88.6,0.5603567
88.8,0.5547663
89.0,0.5589139
89.2,0.5540134
89.4,0.5568294
89.6,0.5539649
89.8,0.5592394
90.0,0.5541257
90.2,0.5603143
90.4,0.5512929
90.6,0.5585295
90.8,0.5501681
91.0,0.5594048
91.2,0.5487232
91.4,0.5581878
91.6,0.5507961
91.8,0.5553407
92.0,0.5522108
92.2,0.5574576
92.4,0.552048
92.6,0.5548789
92.8,0.5511179
93.0,0.5551711
93.2,0.5507498
93.4,0.5555677
93.6,0.5464814
93.8,0.5565454
94.0,0.5470651
94.2,0.5566987
94.4,0.5470232
94.6,0.5542467
94.8,0.5484597
95.0,0.5524728
95.2,0.5488571
95.4,0.551316
95.6,0.549525
95.8,0.5513937
96.0,0.5499977
96.2,0.5528656
96.4,0.5495364
96.6,0.5536775
96.8,0.5443017
97.0,0.55229
97.2,0.544727
97.4,0.5524208
97.6,0.5432232
97.8,0.5516446
98.0,0.5446525
98.2,0.5506741
98.4,0.546108
98.6,0.5497338
98.8,0.5463651
99.0,0.5502076
99.2,0.547791
99.4,0.5504063
99.6,0.5459574
99.8,0.5503475
100.0,0.5422968
100.2,0.5513232
100.4,0.5411921
100.6,0.5520405
100.8,0.5399467
101.0,0.5495235
101.2,0.5396586
101.4,0.55027
101.6,0.54318
101.8,0.5480688
102.0,0.542698
102.2,0.5457145
102.4,0.5451914
102.6,0.5468307
102.8,0.5428744
103.0,0.5467593
103.2,0.5407143
103.4,0.5465489
103.6,0.5388635
103.8,0.5479605
104.0,0.5387574
104.2,0.5460668
104.4,0.5381565
104.6,0.5472325
104.8,0.5403724
105.0,0.5442989
105.2,0.5391684
105.4,0.543699
105.6,0.5399487
105.8,0.5440321
106.0,0.5397573
106.2,0.5426304
106.4,0.5382559
106.6,0.5440265
106.8,0.5360058
107.0,0.5457746
107.2,0.5351343
107.4,0.5437452
107.6,0.5371513
107.8,0.5423281
108.0,0.5372343
108.2,0.5400658
108.4,0.5375796
108.6,0.5414415
108.8,0.5382237
109.0,0.5402841
109.2,0.5354332
109.4,0.5422093
109.6,0.5343788
109.8,0.5421381
110.0,0.5326269
110.2,0.5432125
110.4,0.5322917
110.6,0.5424019
110.8,0.5332409
111.0,0.5408437
111.2,0.5341539
111.4,0.5379496
111.6,0.5347832
111.8,0.5380935
112.0,0.5370269
112.2,0.5367201
112.4,0.5350933
112.6,0.5384936
112.8,0.532306
113.0,0.539688
113.2,0.5319858
113.4,0.5401704
113.6,0.5294379
113.8,0.5392075
114.0,0.5304145
114.2,0.5394407
114.4,0.5318767
114.6,0.5359164
114.8,0.5341848
115.0,0.5372945
115.2,0.5349272
115.4,0.5355253
115.6,0.5318599
115.8,0.5358231
116.0,0.5301239
116.2,0.5363324
116.4,0.5291623
116.6,0.5352709
116.8,0.5276402
117.0,0.5355598
117.2,0.527842
117.4,0.5368257
117.6,0.5282231
117.8,0.5338187
118.0,0.529308
118.2,0.5341345
118.4,0.5305263
118.6,0.5322855
118.8,0.5298717
119.0,0.5311079
119.2,0.5289334
119.4,0.5350241
119.6,0.5255545
119.8,0.5340351
120.0,0.5255076
120.2,0.5331913
120.4,0.5268502
120.6,0.5319982
120.8,0.5267881
121.0,0.530673
121.2,0.5273491
121.4,0.5309738
121.6,0.5288009
121.8,0.5304625
122.0,0.5276844
122.2,0.5306765
122.4,0.5257625
122.6,0.5307408
122.8,0.5223512
123.0,0.5319746
123.2,0.5238264
123.4,0.5303957
123.6,0.5219244
123.8,0.5305137
124.0,0.5232249
124.2,0.5284602
124.4,0.5259187
124.6,0.5271478
124.8,0.5252934
125.0,0.5237007
125.2,0.5261556
125.4,0.527039
125.6,0.5263956
125.8,0.527803
126.0,0.5209142
126.2,0.5294353
126.4,0.5209671
126.6,0.5308163
126.8,0.5200888
127.0,0.5273284
127.2,0.5192414
127.4,0.5266845
127.6,0.5233421
127.8,0.524872
128.0,0.5245189
128.2,0.5246716
128.4,0.5217992
128.6,0.5249952
128.8,0.5195367
129.0,0.5249358
129.2,0.5197285
129.4,0.5270363
129.6,0.5175379
129.8,0.5271571
130.0,0.5165926
130.2,0.5260672
130.4,0.518497
130.6,0.5238503
130.8,0.5196005
131.0,0.52361
131.2,0.5193917
131.4,0.520644
131.6,0.5205604
131.8,0.5222664
132.0,0.5211857
132.2,0.5226165
132.4,0.5175914
132.6,0.5223239
132.8,0.5161778
133.0,0.5227727
133.2,0.5154682
133.4,0.5226647
133.6,0.5144459
133.8,0.5228765
134.0,0.5173407
134.2,0.5190878
134.4,0.5163705
134.6,0.5207009
134.8,0.5181674
135.0,0.5198084
135.2,0.5160885
135.4,0.5197297
135.6,0.5128729
135.8,0.5212786
136.0,0.5135671
136.2,0.5199956
136.4,0.5128791
136.6,0.5201659
136.8,0.5138606
137.0,0.5211146
137.2,0.5135257
137.4,0.5179453
137.6,0.5152873
137.8,0.5178942
138.0,0.5162401
138.2,0.5168951
138.4,0.514067
138.6,0.5180033
138.8,0.5117134
139.0,0.517911
139.2,0.5110564
139.4,0.5194935
139.6,0.5094414
139.8,0.5199205
140.0,0.5117899
140.2,0.5179103
140.4,0.5101094
140.6,0.5160487
140.8,0.5122171
141.0,0.5149248
141.2,0.5144532
141.4,0.5138805
141.6,0.512421
141.8,0.5153725
142.0,0.5119715
142.2,0.5149008
142.4,0.5097102
142.6,0.5151274
142.8,0.5046692
143.0,0.5163897
143.2,0.5075366
143.4,0.51787
143.6,0.5092752
