t,a
0.2,0.3369182
0.4,0.347487
0.6,0.3355894
0.8,0.3475556
1.0,0.3352504
1.2,0.3479187
1.4,0.3378591
1.6,0.3411656
1.8,0.3407239
2.0,0.3409002
2.2,0.3431781
2.4,0.3337148
2.6,0.3449113
2.8,0.3344083
3.0,0.3446897
3.2,0.3365338
3.4,0.344537
3.6,0.3367285
3.8,0.3388601
4.0,0.3377552
4.2,0.3382954
4.4,0.3379521
4.6,0.341126
4.8,0.3365487
5.0,0.339856
5.2,0.3369078
5.4,0.3405361
5.6,0.3330253
5.8,0.3376127
6.0,0.3343654
6.2,0.3371933
6.4,0.3368041
6.6,0.3376475
6.8,0.336835
7.0,0.3366362
7.2,0.3384503
7.4,0.3303911
7.6,0.3391561
7.8,0.3330317
8.0,0.3357665
8.2,0.3348967
8.4,0.3351764
8.6,0.3353703
8.8,0.3329687
9.0,0.3360813
9.2,0.3295723
9.4,0.3381988
9.6,0.3346526
9.8,0.3345199
10.0,0.3343243
10.2,0.3345194
10.4,0.3343975
10.6,0.3291974
10.8,0.33386
11.0,0.3307355
11.2,0.3328649
11.4,0.3334861
11.6,0.3348425
11.8,0.3331733
12.0,0.3284449
12.2,0.3333824
12.4,0.327506
12.6,0.3320917
12.8,0.3309977
13.0,0.3328518
13.2,0.3298623
13.4,0.3326516
13.6,0.3308544
13.8,0.3282719
14.0,0.3303445
14.2,0.3285785
14.4,0.3298112
14.6,0.3322524
14.8,0.3297057
15.0,0.3293058
15.2,0.3246429
15.4,0.3304655
15.6,0.3241549
15.8,0.330224
16.0,0.3277869
16.2,0.3276019
16.4,0.3296749
16.6,0.3304382
16.8,0.3296441
17.0,0.3236059
17.2,0.3296247
17.4,0.3237716
17.6,0.3280065
17.8,0.3292425
18.0,0.3281902
18.2,0.3273464
18.4,0.3261187
18.6,0.3270301
18.8,0.3215406
19.0,0.3300935
19.2,0.3233411
19.4,0.3273973
19.6,0.3249631
19.8,0.325412
20.0,0.3251964
20.2,0.3234572
20.4,0.3257775
20.6,0.3222155
20.8,0.3282386
21.0,0.3253156
21.2,0.326216
21.4,0.3258198
21.6,0.3217756
21.8,0.3251168
22.0,0.3219838
22.2,0.3271185
22.4,0.322734
22.6,0.3251141
22.8,0.324763
23.0,0.3248604
23.2,0.3250114
