t,a
0.2,0.2711795
0.4,0.279025
0.6,0.2677445
0.8,0.2777159
1.0,0.2665949
1.2,0.2764217
1.4,0.272421
1.6,0.2733433
1.8,0.272898
2.0,0.2715471
2.2,0.2743649
2.4,0.267456
2.6,0.2733018
2.8,0.2670669
3.0,0.2751288
3.2,0.269028
3.4,0.2757736
3.6,0.2696045
3.8,0.2730406
4.0,0.269439
4.2,0.2675608
4.4,0.2705
4.6,0.2703866
4.8,0.2668648
5.0,0.269452
5.2,0.2697818
5.4,0.2685373
5.6,0.2661659
5.8,0.2690328
6.0,0.2668819
6.2,0.2684655
6.4,0.269602
6.6,0.2677368
6.8,0.2679193
7.0,0.2645337
7.2,0.2691349
7.4,0.2624366
7.6,0.2688003
7.8,0.2654493
8.0,0.2662302
8.2,0.2668425
8.4,0.2656621
8.6,0.2665007
8.8,0.2617606
9.0,0.2676846
9.2,0.2596021
9.4,0.2674838
9.6,0.263727
9.8,0.2675358
10.0,0.2650905
10.2,0.2650878
10.4,0.2655211
10.6,0.2618641
10.8,0.2658144
11.0,0.2623693
11.2,0.2632957
11.4,0.264326
11.6,0.264678
11.8,0.2644449
12.0,0.2625913
12.2,0.2648134
12.4,0.2589892
12.6,0.2660234
12.8,0.2611981
13.0,0.2649376
13.2,0.2615523
13.4,0.2619272
13.6,0.2618923
13.8,0.2579388
14.0,0.2626684
14.2,0.2605476
14.4,0.2609175
14.6,0.262543
14.8,0.2646268
15.0,0.2624564
15.2,0.2604654
15.4,0.2626153
15.6,0.2557718
15.8,0.2611716
16.0,0.2608584
16.2,0.2602844
16.4,0.2610895
16.6,0.2604757
16.8,0.2600199
17.0,0.2585418
17.2,0.2607117
17.4,0.2580778
17.6,0.2595341
17.8,0.2608452
18.0,0.2596962
18.2,0.2591747
18.4,0.2564481
18.6,0.2615043
18.8,0.2547328
19.0,0.261413
19.2,0.2575568
19.4,0.257202
19.6,0.25844
19.8,0.2594842
20.0,0.258859
20.2,0.2554812
20.4,0.260393
20.6,0.255567
20.8,0.2585229
21.0,0.2597066
21.2,0.2587971
21.4,0.2585851
21.6,0.2558173
21.8,0.2578458
22.0,0.2516415
22.2,0.2589818
22.4,0.254224
22.6,0.2572657
22.8,0.2565578
23.0,0.2583434
23.2,0.2578608
23.4,0.2536088
23.6,0.2573898
23.8,0.2518119
24.0,0.2570881
24.2,0.2552339
24.4,0.2559445
24.6,0.2546341
24.8,0.2545495
25.0,0.2562101
25.2,0.2500669
25.4,0.256898
25.6,0.2503719
25.8,0.2565548
26.0,0.2532372
26.2,0.2569362
26.4,0.2551499
26.6,0.2537227
26.8,0.254046
27.0,0.2508007
27.2,0.2556138
27.4,0.2538638
27.6,0.2551523
27.8,0.2547771
28.0,0.2531422
28.2,0.2548109
28.4,0.2505295
28.6,0.2546454
28.8,0.2497723
29.0,0.2532277
29.2,0.2526553
29.4,0.2544984
29.6,0.2536115
29.8,0.2529006
30.0,0.2544885
30.2,0.2506762
30.4,0.2539882
30.6,0.2516811
30.8,0.2520211
31.0,0.2519335
31.2,0.2523201
31.4,0.2529499
31.6,0.2494976
31.8,0.2530884
32.0,0.2498514
32.2,0.2528453
32.4,0.2516771
32.6,0.2517056
32.8,0.2500767
33.0,0.2501184
33.2,0.2516497
33.4,0.2471819
33.6,0.2516996
33.8,0.2501246
34.0,0.2471534
34.2,0.2503911
34.4,0.2513347
34.6,0.2504627
34.8,0.2461604
35.0,0.2516437
35.2,0.2445561
35.4,0.2515354
35.6,0.2471593
35.8,0.2503378
36.0,0.2481809
36.2,0.2473145
36.4,0.2515668
36.6,0.244589
36.8,0.2506529
37.0,0.2454397
37.2,0.2484269
37.4,0.2478198
37.6,0.2505
37.8,0.2479728
38.0,0.246045
38.2,0.2505073
38.4,0.2422136
38.6,0.2504846
38.8,0.2471012
39.0,0.2501491
39.2,0.2469752
39.4,0.2493364
39.6,0.2481243
39.8,0.245823
40.0,0.2488181
40.2,0.2442711
40.4,0.2483583
40.6,0.2458901
40.8,0.2485604
41.0,0.2463669
41.2,0.2471932
41.4,0.2455202
41.6,0.2435735
41.8,0.2479208
42.0,0.2446351
42.2,0.2472432
42.4,0.2456582
42.6,0.2457871
42.8,0.2460114
43.0,0.244794
43.2,0.2472032
43.4,0.2421654
43.6,0.2473912
43.8,0.2452859
44.0,0.2464447
44.2,0.2454684
44.4,0.2439768
44.6,0.2463105
44.8,0.2418062
45.0,0.2469818
45.2,0.2436532
45.4,0.2437858
45.6,0.2433833
45.8,0.2453636
46.0,0.2452535
46.2,0.2426278
46.4,0.2448459
46.6,0.2417456
46.8,0.2440003
47.0,0.2439891
47.2,0.242084
47.4,0.243906
47.6,0.2415075
47.8,0.2444207
48.0,0.2385926
48.2,0.2465547
48.4,0.241968
48.6,0.2417636
48.8,0.2440554
49.0,0.2437763
49.2,0.242215
49.4,0.240734
49.6,0.2434354
49.8,0.2387803
50.0,0.2419047
50.2,0.2421999
50.4,0.2431056
50.6,0.2416894
50.8,0.2424818
51.0,0.2427744
51.2,0.2379893
51.4,0.2443366
51.6,0.2381752
51.8,0.2403172
52.0,0.2407002
52.2,0.2444687
52.4,0.241355
52.6,0.241107
52.8,0.2422873
53.0,0.2378631
53.2,0.2419733
53.4,0.2406537
53.6,0.2427407
53.8,0.2415845
54.0,0.2391025
54.2,0.2407728
54.4,0.2361921
54.6,0.24116
54.8,0.2376803
55.0,0.2416011
55.2,0.2398815
55.4,0.2426903
55.6,0.2398718
55.8,0.2384311
56.0,0.240053
56.2,0.2342213
56.4,0.2406706
56.6,0.2382602
56.8,0.2382199
57.0,0.2389007
57.2,0.2417855
57.4,0.2386291
57.6,0.2377577
57.8,0.239026
58.0,0.2341421
58.2,0.2388936
58.4,0.2387467
58.6,0.2392939
58.8,0.2391122
59.0,0.2394315
59.2,0.2393245
59.4,0.2347704
59.6,0.240855
59.8,0.2369333
60.0,0.2368017
60.2,0.2371905
60.4,0.2375269
60.6,0.238933
60.8,0.233627
61.0,0.2398521
61.2,0.2347462
61.4,0.2385427
61.6,0.238226
61.8,0.2362377
62.0,0.2367342
62.2,0.2345852
62.4,0.2377661
62.6,0.2323717
62.8,0.2369101
63.0,0.2341856
63.2,0.2340091
63.4,0.235239
63.6,0.2360995
63.8,0.2362339
64.0,0.2335151
64.2,0.2368655
64.4,0.2307787
64.6,0.2361959
64.8,0.2350936
65.0,0.2361129
65.2,0.2331908
65.4,0.2359474
65.6,0.2354293
65.8,0.2331316
66.0,0.2372559
66.2,0.2331982
66.4,0.2348624
66.6,0.2355382
66.8,0.2371754
67.0,0.2348341
67.2,0.2330384
67.4,0.2355972
67.6,0.2304309
67.8,0.2363214
68.0,0.2321328
68.2,0.2351117
68.4,0.2322042
68.6,0.2342642
68.8,0.2339575
69.0,0.2322167
69.2,0.2356256
69.4,0.2306115
69.6,0.2336931
69.8,0.2332733
70.0,0.2360159
70.2,0.2333549
70.4,0.2319884
70.6,0.2349814
70.8,0.2283173
71.0,0.2339121
71.2,0.2302525
71.4,0.2343367
71.6,0.232299
71.8,0.2334401
72.0,0.2320666
72.2,0.2324389
72.4,0.2319439
72.6,0.230751
72.8,0.2309261
73.0,0.2317937
73.2,0.2316583
73.4,0.2309055
73.6,0.2302407
73.8,0.2321046
74.0,0.2265928
74.2,0.2334122
74.4,0.2299831
74.6,0.2305379
74.8,0.2312414
75.0,0.233963
75.2,0.2305526
75.4,0.2294503
75.6,0.2315006
75.8,0.2278688
76.0,0.2304847
76.2,0.2315477
76.4,0.2291573
76.6,0.2281142
76.8,0.2283766
77.0,0.2318304
77.2,0.2266988
77.4,0.231927
77.6,0.2259313
77.8,0.2308353
78.0,0.2282671
78.2,0.2312555
78.4,0.2305427
78.6,0.2284188
78.8,0.2297225
79.0,0.22542
79.2,0.2295686
79.4,0.2277826
79.6,0.2304007
79.8,0.227294
80.0,0.228564
80.2,0.2296232
80.4,0.2270646
80.6,0.2312406
80.8,0.2259616
81.0,0.2287387
81.2,0.2281914
81.4,0.2296966
81.6,0.2276593
81.8,0.2275858
82.0,0.2284303
82.2,0.2253526
82.4,0.2296816
82.6,0.2273654
82.8,0.2281496
83.0,0.2279452
83.2,0.2262333
83.4,0.2280533
83.6,0.2246344
83.8,0.2283603
84.0,0.2221248
84.2,0.2288148
84.4,0.2261502
84.6,0.2295305
84.8,0.226586
85.0,0.2274442
85.2,0.22611
85.4,0.2224455
85.6,0.2271503
85.8,0.2244897
86.0,0.2266535
86.2,0.2256882
86.4,0.2289521
86.6,0.2272898
86.8,0.2244098
87.0,0.2273301
87.2,0.2236539
87.4,0.2267285
87.6,0.2249282
87.8,0.2256924
88.0,0.2235423
88.2,0.2250453
88.4,0.2262944
88.6,0.2215988
88.8,0.226571
89.0,0.2240333
89.2,0.2239952
89.4,0.2243143
89.6,0.2254932
89.8,0.2263091
90.0,0.2228669
90.2,0.2254637
90.4,0.2199927
90.6,0.2254251
90.8,0.223033
91.0,0.2252967
91.2,0.2239324
91.4,0.223953
91.6,0.2250219
91.8,0.2204697
92.0,0.2258435
92.2,0.2211131
92.4,0.2225211
92.6,0.2233362
92.8,0.2252225
93.0,0.2245304
93.2,0.2199195
93.4,0.2252415
93.6,0.2175762
93.8,0.225019
94.0,0.2234217
94.2,0.2244471
94.4,0.2212192
94.6,0.2255996
94.8,0.2226334
95.0,0.2201535
95.2,0.2236848
95.4,0.2185842
95.6,0.2235593
95.8,0.2218437
96.0,0.223004
96.2,0.223268
96.4,0.2212769
96.6,0.2221548
96.8,0.2184867
97.0,0.2233239
97.2,0.219677
97.4,0.2218513
97.6,0.2208238
97.8,0.2232271
98.0,0.2209128
98.2,0.2207175
98.4,0.2232376
98.6,0.2187096
98.8,0.2207254
99.0,0.2213029
99.2,0.2209728
99.4,0.2214745
99.6,0.2203747
99.8,0.2206761
100.0,0.2175873
100.2,0.2230521
100.4,0.2197718
100.6,0.2203174
100.8,0.2201402
101.0,0.2220302
101.2,0.2217215
101.4,0.2187019
101.6,0.2198191
101.8,0.2172712
102.0,0.2195628
102.2,0.2194488
102.4,0.221122
102.6,0.2187227
102.8,0.21886
103.0,0.221529
103.2,0.2152217
103.4,0.2217155
103.6,0.2175818
103.8,0.2173275
104.0,0.2200737
104.2,0.2200157
