t,a
0.2,0.7996175
0.4,0.8072033
0.6,0.8003299
0.8,0.8036239
1.0,0.8021548
1.2,0.8006168
1.4,0.8016377
1.6,0.8002616
1.8,0.8009273
2.0,0.800005
2.2,0.8013246
2.4,0.8002917
2.6,0.8007359
2.8,0.8011818
3.0,0.7993854
3.2,0.799464
3.4,0.7989754
3.6,0.7998903
3.8,0.7984649
4.0,0.7942767
4.2,0.7992827
4.4,0.7939871
4.6,0.79729
4.8,0.7933285
5.0,0.7983619
5.2,0.7934934
5.4,0.7961395
5.6,0.7949007
5.8,0.7942766
6.0,0.7934044
6.2,0.7916697
6.4,0.7938605
6.6,0.7916505
6.8,0.794255
7.0,0.7900602
7.2,0.7912346
7.4,0.7931088
7.6,0.7913983
7.8,0.7907835
8.0,0.7902963
8.2,0.7901149
8.4,0.7884569
8.6,0.7889138
8.8,0.7884
9.0,0.7871626
9.2,0.7887346
9.4,0.7831824
9.6,0.7873331
9.8,0.7817886
10.0,0.7872301
10.2,0.7829092
10.4,0.7859977
10.6,0.7825839
10.8,0.7852501
11.0,0.782153
11.2,0.7840987
11.4,0.781599
11.6,0.7826365
11.8,0.7806276
12.0,0.7833511
12.2,0.77726
12.4,0.781704
12.6,0.7735834
12.8,0.7822929
13.0,0.7728298
13.2,0.7803663
13.4,0.7744455
13.6,0.7808156
13.8,0.7737366
14.0,0.7798969
14.2,0.7738057
14.4,0.7790959
14.6,0.7761571
14.8,0.7779639
15.0,0.7742015
15.2,0.778021
15.4,0.7697045
15.6,0.7748999
15.8,0.7686924
16.0,0.7745848
16.2,0.7663744
16.4,0.7737799
16.6,0.7681656
16.8,0.7763502
17.0,0.7708358
17.2,0.7741918
17.4,0.7697174
17.6,0.7728181
17.8,0.7694477
18.0,0.7715433
18.2,0.7689295
18.4,0.7711265
18.6,0.7652793
18.8,0.7705935
19.0,0.7635584
19.2,0.7694139
19.4,0.762582
19.6,0.7693873
19.8,0.7638962
20.0,0.7697308
20.2,0.7633786
20.4,0.7685243
20.6,0.7651496
20.8,0.7672198
21.0,0.7642042
21.2,0.7651395
21.4,0.7648082
21.6,0.7646511
21.8,0.7605791
22.0,0.7641158
22.2,0.7585319
22.4,0.7633684
22.6,0.7567198
22.8,0.7630423
23.0,0.7571248
23.2,0.7637083
23.4,0.7562713
23.6,0.7634018
23.8,0.7587068
24.0,0.7622658
24.2,0.7575029
24.4,0.7601248
24.6,0.7560789
24.8,0.7598971
25.0,0.7546605
25.2,0.7575921
25.4,0.7523698
25.6,0.75813
25.8,0.7504802
26.0,0.7584865
26.2,0.7507103
26.4,0.757349
26.6,0.7513821
26.8,0.7570992
27.0,0.7528199
27.2,0.7559887
27.4,0.7520405
27.6,0.7541349
27.8,0.7515073
28.0,0.754718
28.2,0.7500938
28.4,0.7536141
28.6,0.7468326
28.8,0.7523272
29.0,0.744101
29.2,0.7509957
29.4,0.7450032
29.6,0.752687
29.8,0.7449454
30.0,0.7503428
30.2,0.7473334
30.4,0.7512928
30.6,0.7471276
30.8,0.7505377
31.0,0.7483762
31.2,0.7487621
31.4,0.7463009
31.6,0.7494555
31.8,0.7427253
32.0,0.748948
32.2,0.741528
32.4,0.7476927
32.6,0.7417372
32.8,0.7469662
33.0,0.7417423
33.2,0.747022
33.4,0.7430584
33.6,0.7465632
33.8,0.7424348
34.0,0.7443811
34.2,0.7424867
34.4,0.7439494
34.6,0.7414817
34.8,0.7440442
35.0,0.7402756
35.2,0.7424624
35.4,0.7369243
35.6,0.74333
35.8,0.7356005
36.0,0.742664
36.2,0.7378726
36.4,0.7421171
36.6,0.738729
36.8,0.7418154
37.0,0.7400387
37.2,0.7403174
37.4,0.7376102
37.6,0.7398174
37.8,0.7373481
38.0,0.7393175
38.2,0.7358807
38.4,0.7383638
38.6,0.7331337
38.8,0.7401555
39.0,0.7330309
39.2,0.7379299
39.4,0.7333846
39.6,0.7392741
39.8,0.7338368
40.0,0.7382028
40.2,0.7353
40.4,0.7378762
40.6,0.7330429
40.8,0.7366049
41.0,0.7335865
41.2,0.735259
41.4,0.7304096
41.6,0.7348698
41.8,0.7281746
42.0,0.7352504
42.2,0.7289798
42.4,0.734108
42.6,0.7285437
42.8,0.7335378
43.0,0.7282145
43.2,0.7320985
43.4,0.7300413
43.6,0.7317203
43.8,0.7311591
44.0,0.7306051
44.2,0.7307833
44.4,0.7292686
44.6,0.7269961
44.8,0.7296695
45.0,0.7242846
45.2,0.7291155
45.4,0.7232911
45.6,0.730921
45.8,0.7254314
46.0,0.7315547
46.2,0.7259635
46.4,0.7279118
46.6,0.7258425
46.8,0.7280649
47.0,0.7260871
47.2,0.7270224
47.4,0.7272029
47.6,0.7263812
47.8,0.7236457
