t,a
0.2,0.1684451
0.4,0.1710548
0.6,0.1672469
0.8,0.1707405
1.0,0.1663258
1.2,0.170848
1.4,0.1680826
1.6,0.1683179
1.8,0.1673345
2.0,0.1681186
2.2,0.1684885
2.4,0.1634953
2.6,0.1699967
2.8,0.1640157
3.0,0.1700556
3.2,0.1644082
3.4,0.1697597
3.6,0.1663275
3.8,0.167849
4.0,0.1677822
4.2,0.1626981
4.4,0.166588
4.6,0.164806
4.8,0.1668415
5.0,0.1631413
5.2,0.1677143
5.4,0.1656725
5.6,0.1652917
5.8,0.1666586
6.0,0.1619774
6.2,0.1657846
6.4,0.1640613
6.6,0.1662402
6.8,0.1656093
7.0,0.1640475
7.2,0.1647671
7.4,0.1611311
7.6,0.165004
7.8,0.1630537
8.0,0.1632221
8.2,0.1620471
8.4,0.1643354
8.6,0.163425
8.8,0.1619411
9.0,0.1642915
9.2,0.1587663
9.4,0.1644979
9.6,0.1621283
9.8,0.1629564
10.0,0.1630101
10.2,0.1640744
10.4,0.1625126
10.6,0.1612028
10.8,0.1643881
11.0,0.1618488
11.2,0.1602223
11.4,0.1606093
11.6,0.1639135
11.8,0.1622297
12.0,0.1599531
12.2,0.1626173
12.4,0.1591868
12.6,0.1624224
12.8,0.1621523
13.0,0.1630689
13.2,0.1595816
13.4,0.162142
13.6,0.161254
13.8,0.1593435
14.0,0.1609555
14.2,0.1580603
14.4,0.1584259
14.6,0.1587397
14.8,0.1608269
15.0,0.1599108
15.2,0.1592291
15.4,0.1614366
15.6,0.1558866
15.8,0.16135
16.0,0.1587465
16.2,0.1601081
16.4,0.1581178
16.6,0.1596766
16.8,0.1595172
17.0,0.157478
17.2,0.1591708
17.4,0.156101
17.6,0.1580076
17.8,0.158121
18.0,0.1597064
18.2,0.1591237
18.4,0.1572921
18.6,0.1598005
18.8,0.1546282
19.0,0.1588663
19.2,0.1563996
19.4,0.1578607
19.6,0.1565239
19.8,0.1606883
20.0,0.1583702
20.2,0.1559222
20.4,0.1586808
20.6,0.1530293
20.8,0.1568561
21.0,0.1550343
21.2,0.1574755
21.4,0.1557647
21.6,0.1592778
21.8,0.1569821
22.0,0.1539251
22.2,0.1593755
22.4,0.1544951
22.6,0.1554605
22.8,0.1539617
23.0,0.1558053
23.2,0.1560207
23.4,0.1567341
23.6,0.1561025
23.8,0.1539131
24.0,0.1573483
24.2,0.155783
24.4,0.1563468
24.6,0.1567379
24.8,0.1558512
25.0,0.1561312
25.2,0.1523234
25.4,0.1559149
25.6,0.1534545
25.8,0.1534454
26.0,0.1543887
26.2,0.1574994
26.4,0.1551912
26.6,0.1542676
26.8,0.1558922
27.0,0.151641
27.2,0.1538996
27.4,0.1540612
27.6,0.1555793
27.8,0.151317
28.0,0.1540212
28.2,0.154873
28.4,0.1520264
28.6,0.156576
28.8,0.1511389
29.0,0.153364
29.2,0.1537828
29.4,0.1562398
29.6,0.1523746
29.8,0.1526641
30.0,0.1534488
30.2,0.1485995
30.4,0.1532695
30.6,0.1527555
30.8,0.1529953
31.0,0.1510996
31.2,0.1530129
31.4,0.1525666
31.6,0.1515789
31.8,0.1536242
32.0,0.1496113
32.2,0.152544
32.4,0.1515353
32.6,0.154367
32.8,0.1516416
33.0,0.1532738
33.2,0.1513652
33.4,0.1478014
33.6,0.1532184
33.8,0.1503794
34.0,0.15156
34.2,0.149262
34.4,0.1523077
34.6,0.1519123
34.8,0.1509426
35.0,0.1525479
35.2,0.1489428
35.4,0.1527096
35.6,0.1495798
35.8,0.1524423
36.0,0.1509909
36.2,0.1511958
36.4,0.1515726
36.6,0.1485381
