t,a
0.2,0.719015
0.4,0.7312472
0.6,0.7156322
0.8,0.7280452
1.0,0.7139911
1.2,0.7273195
1.4,0.7112958
1.6,0.7263869
1.8,0.7116525
2.0,0.7260993
2.2,0.7125038
2.4,0.7270785
2.6,0.7127016
2.8,0.7265131
3.0,0.712741
3.2,0.7249795
3.4,0.7145419
3.6,0.722898
3.8,0.7126719
4.0,0.7205217
4.2,0.7130031
4.4,0.7191363
4.6,0.7123142
4.8,0.718047
5.0,0.7125839
5.2,0.7188503
5.4,0.7109236
5.6,0.7150812
5.8,0.7115451
6.0,0.7134743
6.2,0.7103913
6.4,0.7123328
6.6,0.7129152
6.8,0.7124444
7.0,0.7120266
7.2,0.7097508
7.4,0.7117193
7.6,0.7079012
7.8,0.7102537
8.0,0.7081594
8.2,0.7090319
8.4,0.7076464
8.6,0.7084565
8.8,0.7066574
9.0,0.707106
9.2,0.7041382
9.4,0.7089492
9.6,0.7029225
9.8,0.7074845
10.0,0.7037193
10.2,0.7077414
10.4,0.7010186
10.6,0.7071752
10.8,0.6995101
11.0,0.705336
11.2,0.701148
11.4,0.7060189
11.6,0.700721
11.8,0.7036453
12.0,0.6990609
12.2,0.7027574
12.4,0.6978411
12.6,0.702246
12.8,0.6963911
13.0,0.7016333
13.2,0.6949106
13.4,0.7013104
13.6,0.6931715
13.8,0.7008362
14.0,0.6937768
14.2,0.6991227
14.4,0.6940457
14.6,0.6982169
14.8,0.6940027
15.0,0.6984757
15.2,0.6945326
15.4,0.6975836
15.6,0.6930855
15.8,0.6961164
16.0,0.6919579
16.2,0.6974741
16.4,0.6904593
16.6,0.6954409
16.8,0.6893293
17.0,0.6949812
17.2,0.6876604
17.4,0.6927386
17.6,0.6877863
17.8,0.6928251
18.0,0.687929
18.2,0.6915523
18.4,0.6880294
18.6,0.6913413
18.8,0.6874823
19.0,0.6911857
19.2,0.6846766
19.4,0.6894438
19.6,0.6850573
19.8,0.6916852
20.0,0.6842819
20.2,0.6895462
20.4,0.6809114
20.6,0.6878576
20.8,0.6809959
21.0,0.6867573
21.2,0.6812674
21.4,0.6860162
21.6,0.6797958
21.8,0.68438
22.0,0.6793173
22.2,0.6852536
22.4,0.6772762
22.6,0.6839771
22.8,0.6772275
23.0,0.6857366
23.2,0.6763873
23.4,0.6838149
23.6,0.6750767
23.8,0.6817063
24.0,0.6732207
24.2,0.6808274
24.4,0.6758353
24.6,0.6799037
24.8,0.6750198
25.0,0.6790792
25.2,0.6735012
25.4,0.6775082
25.6,0.6716995
25.8,0.6782236
26.0,0.6715951
26.2,0.6779827
26.4,0.6711542
26.6,0.6758189
26.8,0.6701818
27.0,0.6759008
27.2,0.6703516
27.4,0.6754187
27.6,0.6712931
27.8,0.6756083
28.0,0.6699917
28.2,0.672788
28.4,0.6690648
28.6,0.6731367
28.8,0.6681314
29.0,0.6720635
29.2,0.6662952
29.4,0.6718678
29.6,0.6667009
29.8,0.6707593
30.0,0.6637097
30.2,0.6714597
30.4,0.6638928
30.6,0.6698452
30.8,0.6644638
31.0,0.6675953
31.2,0.6655931
31.4,0.6676857
31.6,0.6646567
31.8,0.667668
32.0,0.6644159
32.2,0.6687766
32.4,0.6630255
32.6,0.6680238
32.8,0.6633122
33.0,0.6668638
33.2,0.6629594
33.4,0.6667557
33.6,0.66059
33.8,0.6647039
34.0,0.6616765
34.2,0.6640272
34.4,0.6616151
34.6,0.6622915
34.8,0.66082
35.0,0.6615904
35.2,0.6594138
35.4,0.6615806
35.6,0.6600458
35.8,0.6615843
36.0,0.6581102
36.2,0.662396
36.4,0.6583272
