t,a
0.2,0.4169505
0.4,0.4309638
0.6,0.4123215
0.8,0.4292194
1.0,0.4132428
1.2,0.4283539
1.4,0.4193646
1.6,0.4239582
1.8,0.4206721
2.0,0.4222299
2.2,0.423858
2.4,0.4175355
2.6,0.4241743
2.8,0.4173412
3.0,0.4242728
3.2,0.418788
3.4,0.424768
3.6,0.4170926
3.8,0.4229035
4.0,0.415651
4.2,0.4208672
4.4,0.4173756
4.6,0.4217749
4.8,0.4116674
5.0,0.4220565
5.2,0.4112031
5.4,0.4204907
5.6,0.408225
5.8,0.4206683
6.0,0.4098395
6.2,0.4201066
6.4,0.4135245
6.6,0.4179821
6.8,0.4150444
7.0,0.4137391
7.2,0.4158621
7.4,0.4122969
7.6,0.4156208
7.8,0.4141125
8.0,0.4157291
8.2,0.4142925
8.4,0.4137172
8.6,0.4137793
8.8,0.4096437
9.0,0.4149929
9.2,0.410614
9.4,0.4153128
9.6,0.4129259
9.8,0.4140574
10.0,0.4122882
10.2,0.4111625
10.4,0.413138
10.6,0.410023
10.8,0.4131721
11.0,0.410358
11.2,0.4132318
11.4,0.4112051
11.6,0.4130475
11.8,0.4102276
12.0,0.4062373
12.2,0.4117524
12.4,0.4065215
12.6,0.4127942
12.8,0.4093972
13.0,0.4094869
13.2,0.4087249
13.4,0.4097805
13.6,0.409089
13.8,0.4069467
14.0,0.4093456
14.2,0.4090223
14.4,0.4079987
14.6,0.4101145
14.8,0.4068733
15.0,0.4095061
15.2,0.4047807
15.4,0.4118269
15.6,0.4028631
15.8,0.4096117
16.0,0.4055888
16.2,0.4074346
16.4,0.4068953
16.6,0.4060023
16.8,0.4075424
17.0,0.4041353
17.2,0.4079056
17.4,0.4042535
17.6,0.4048173
17.8,0.4076441
18.0,0.4048917
18.2,0.4067548
18.4,0.4024306
18.6,0.4083674
18.8,0.3993323
19.0,0.4086854
19.2,0.4022367
19.4,0.4055036
19.6,0.4025581
19.8,0.4033929
20.0,0.4036463
20.2,0.4004818
20.4,0.4060848
20.6,0.4011051
20.8,0.4064018
21.0,0.4040848
21.2,0.3997705
21.4,0.4036213
21.6,0.4025146
21.8,0.4028241
22.0,0.3964097
22.2,0.4057287
22.4,0.4000176
22.6,0.4032937
22.8,0.4012312
23.0,0.4024995
23.2,0.3999369
23.4,0.3984735
23.6,0.4021432
23.8,0.396672
24.0,0.401713
24.2,0.4014036
24.4,0.3989296
24.6,0.4017466
24.8,0.399467
25.0,0.402817
25.2,0.3955159
25.4,0.4030138
25.6,0.395657
25.8,0.4012738
26.0,0.3982276
26.2,0.4006762
26.4,0.3989385
26.6,0.3972723
26.8,0.3996251
27.0,0.3955486
27.2,0.3995856
27.4,0.3993695
27.6,0.3959198
27.8,0.3992222
28.0,0.3963026
28.2,0.3995561
28.4,0.3939528
28.6,0.39949
28.8,0.3945468
29.0,0.3975383
29.2,0.397734
29.4,0.3976064
29.6,0.397298
29.8,0.3959921
30.0,0.3970747
30.2,0.3938613
30.4,0.3988067
30.6,0.3959416
30.8,0.3949847
31.0,0.3952664
31.2,0.3945624
31.4,0.3976059
31.6,0.3900062
31.8,0.397162
32.0,0.3916938
32.2,0.3972383
32.4,0.3961764
32.6,0.3938861
32.8,0.3944366
33.0,0.3931387
33.2,0.3947572
33.4,0.3888743
33.6,0.3960858
33.8,0.3929525
34.0,0.3934233
34.2,0.394275
34.4,0.3936174
34.6,0.3929339
34.8,0.3896039
35.0,0.3944743
35.2,0.3874913
35.4,0.394422
35.6,0.3913001
35.8,0.391764
36.0,0.3917854
36.2,0.3913934
36.4,0.3927541
36.6,0.3878978
36.8,0.3923053
37.0,0.3894294
37.2,0.3901796
37.4,0.391573
37.6,0.3902094
37.8,0.3922893
38.0,0.3858743
38.2,0.3919792
38.4,0.3865937
38.6,0.3936926
38.8,0.3892453
39.0,0.3911057
39.2,0.3904848
39.4,0.3878098
39.6,0.3897527
39.8,0.3845012
40.0,0.3889854
40.2,0.3879546
40.4,0.3903526
40.6,0.3894449
40.8,0.3884533
41.0,0.3897516
41.2,0.3859167
41.4,0.3893676
41.6,0.383426
41.8,0.3903218
42.0,0.3870685
42.2,0.3860017
42.4,0.3875605
42.6,0.386298
42.8,0.3881109
43.0,0.3835461
43.2,0.388242
43.4,0.3849489
43.6,0.3878775
43.8,0.3879912
44.0,0.3851288
44.2,0.3870118
44.4,0.3829353
44.6,0.3882614
44.8,0.3813918
45.0,0.3880598
45.2,0.3846875
45.4,0.3851876
45.6,0.3870133
45.8,0.3854401
46.0,0.3862033
46.2,0.3820628
46.4,0.3871568
46.6,0.3821324
46.8,0.3849474
47.0,0.3852065
47.2,0.3838775
47.4,0.3852892
47.6,0.3840389
47.8,0.386793
48.0,0.3777661
48.2,0.3882249
48.4,0.3815222
48.6,0.3839505
48.8,0.3834855
49.0,0.3840596
49.2,0.3826295
49.4,0.3796941
49.6,0.3837716
49.8,0.3819371
50.0,0.385323
50.2,0.3838339
50.4,0.3814614
50.6,0.383492
50.8,0.3814104
51.0,0.3828968
51.2,0.3762274
51.4,0.3836777
51.6,0.377874
51.8,0.3817606
52.0,0.3805004
52.2,0.3825498
52.4,0.3795916
52.6,0.3780458
52.8,0.3808124
53.0,0.3763513
53.2,0.3817011
53.4,0.381445
53.6,0.38089
53.8,0.3809725
54.0,0.3788989
54.2,0.3814593
54.4,0.3754962
54.6,0.381182
54.8,0.3765889
55.0,0.3800589
55.2,0.3795361
55.4,0.378967
55.6,0.3792436
55.8,0.3757182
56.0,0.3800068
56.2,0.3771851
56.4,0.3792112
56.6,0.3788028
56.8,0.3763196
57.0,0.3808869
57.2,0.3759544
57.4,0.378951
57.6,0.3728101
57.8,0.380697
58.0,0.3731317
58.2,0.380036
58.4,0.376227
58.6,0.3764532
58.8,0.3763061
59.0,0.3763077
59.2,0.3775206
59.4,0.3725398
59.6,0.3784289
59.8,0.3760299
60.0,0.373991
60.2,0.3779628
60.4,0.372932
60.6,0.37721
60.8,0.3696483
61.0,0.3794751
61.2,0.3699723
61.4,0.3782427
61.6,0.3733703
61.8,0.3750707
62.0,0.3753935
62.2,0.3725276
62.4,0.3754361
62.6,0.3694302
62.8,0.3751677
63.0,0.371987
63.2,0.3751958
63.4,0.3741594
63.6,0.3730774
63.8,0.3745029
64.0,0.3681314
64.2,0.3744405
64.4,0.370344
64.6,0.3746129
64.8,0.3723453
65.0,0.37531
65.2,0.371481
65.4,0.3718888
65.6,0.3730637
65.8,0.3705312
66.0,0.3727428
66.2,0.3702041
66.4,0.3716403
66.6,0.3713813
66.8,0.3731986
67.0,0.3725425
67.2,0.3665418
67.4,0.3726631
67.6,0.367736
67.8,0.3738372
68.0,0.3702074
68.2,0.3723075
68.4,0.3711892
68.6,0.3713694
68.8,0.3704454
69.0,0.3675392
69.2,0.3701362
69.4,0.3697333
69.6,0.368682
69.8,0.3706818
70.0,0.3698806
70.2,0.3700584
70.4,0.3661372
70.6,0.3718879
70.8,0.3631836
71.0,0.3715891
71.2,0.3675216
71.4,0.3683399
71.6,0.3695507
71.8,0.3664535
72.0,0.368871
72.2,0.3664677
72.4,0.3713446
72.6,0.3665723
72.8,0.3690912
73.0,0.3690101
73.2,0.3671928
73.4,0.3704125
73.6,0.3639041
73.8,0.3689862
74.0,0.362022
74.2,0.3727456
74.4,0.3642671
74.6,0.3687071
74.8,0.3657065
75.0,0.3673642
75.2,0.3662497
75.4,0.3616607
75.6,0.3671706
75.8,0.3638541
76.0,0.3653216
76.2,0.3676696
76.4,0.3642557
76.6,0.3679049
76.8,0.3642031
77.0,0.3678853
77.2,0.3616558
77.4,0.3688523
77.6,0.3626497
77.8,0.3668324
78.0,0.3648742
78.2,0.3655322
78.4,0.3638357
78.6,0.3611831
78.8,0.365846
79.0,0.3593079
79.2,0.3668648
79.4,0.3643444
79.6,0.3639856
79.8,0.3654922
80.0,0.3618379
80.2,0.3662163
80.4,0.3585297
80.6,0.3658041
80.8,0.3608844
81.0,0.3646516
81.2,0.3636925
81.4,0.3646848
81.6,0.3639548
81.8,0.3614748
82.0,0.3639193
82.2,0.3578045
82.4,0.3635445
82.6,0.3615403
82.8,0.3621074
83.0,0.3620329
83.2,0.3601909
83.4,0.3619095
83.6,0.3580345
83.8,0.3636931
84.0,0.3585999
84.2,0.3622173
84.4,0.3603271
84.6,0.3618654
84.8,0.3603274
85.0,0.3597738
85.2,0.360968
85.4,0.3571644
85.6,0.3622126
85.8,0.3606833
86.0,0.3581903
86.2,0.3622199
86.4,0.3590237
86.6,0.3617457
86.8,0.3539863
87.0,0.3633014
87.2,0.3563012
87.4,0.3618341
87.6,0.3582392
87.8,0.3597607
88.0,0.3583855
88.2,0.358004
88.4,0.3608746
88.6,0.3544589
88.8,0.3609625
89.0,0.3582891
89.2,0.3569099
89.4,0.359375
89.6,0.3586099
89.8,0.3590119
90.0,0.3536212
90.2,0.3592586
90.4,0.3540285
