t,a
0.2,0.7527851
0.4,0.7693283
0.6,0.7551013
0.8,0.7685611
1.0,0.7561466
1.2,0.7673438
1.4,0.7561295
1.6,0.7656643
1.8,0.7553972
2.0,0.7647443
2.2,0.7549281
2.4,0.7639808
2.6,0.7550566
2.8,0.7643948
3.0,0.7569616
3.2,0.7646009
3.4,0.7545458
3.6,0.7622231
3.8,0.7555559
4.0,0.7607002
4.2,0.7553437
4.4,0.7617778
4.6,0.7547396
4.8,0.7576168
5.0,0.7540327
5.2,0.7570396
5.4,0.7528547
5.6,0.7557594
5.8,0.7537297
6.0,0.7575482
6.2,0.7539792
6.4,0.7560068
6.6,0.7513604
6.8,0.7546878
7.0,0.7508996
7.2,0.7554469
7.4,0.7530107
7.6,0.7541951
7.8,0.7516919
8.0,0.7494844
8.2,0.7488688
8.4,0.7502187
8.6,0.7485155
8.8,0.7498007
9.0,0.7486522
9.2,0.7498318
9.4,0.7494009
9.6,0.7480212
9.8,0.7482117
10.0,0.7486855
10.2,0.7474284
10.4,0.7468397
10.6,0.7479742
10.8,0.7457999
11.0,0.7458934
11.2,0.7434649
11.4,0.7437639
11.6,0.7428136
11.8,0.7431287
12.0,0.7420967
12.2,0.7443991
12.4,0.7426984
12.6,0.7435456
12.8,0.742497
13.0,0.7411438
13.2,0.7402726
13.4,0.7403674
13.6,0.7383705
13.8,0.7405789
14.0,0.7380584
14.2,0.7404678
14.4,0.7381758
14.6,0.736976
14.8,0.7357999
15.0,0.736605
15.2,0.7371397
15.4,0.7364488
15.6,0.7351661
15.8,0.7357149
16.0,0.7347901
16.2,0.7325353
16.4,0.7322905
16.6,0.7335937
16.8,0.7317722
17.0,0.7336125
17.2,0.7313745
17.4,0.7336107
17.6,0.7299743
17.8,0.7337399
18.0,0.7283162
18.2,0.7307721
18.4,0.7291119
18.6,0.7288691
18.8,0.7295592
19.0,0.7293835
19.2,0.7300459
19.4,0.7271063
19.6,0.7270842
19.8,0.7268793
20.0,0.7264983
20.2,0.7271437
20.4,0.7258389
20.6,0.7238501
20.8,0.7240785
21.0,0.7242916
21.2,0.7219486
21.4,0.7233398
21.6,0.7228901
21.8,0.7225842
22.0,0.7229666
22.2,0.7234548
22.4,0.7225903
22.6,0.7215481
22.8,0.7209066
23.0,0.7198316
23.2,0.7210763
23.4,0.7199806
23.6,0.7210184
23.8,0.7212064
24.0,0.7206984
24.2,0.7199445
24.4,0.7177717
24.6,0.7171085
24.8,0.717152
25.0,0.7184144
25.2,0.7168279
25.4,0.7177688
25.6,0.7165526
25.8,0.7161411
26.0,0.7159347
26.2,0.7161595
26.4,0.7136494
26.6,0.7156817
26.8,0.7137205
27.0,0.7156996
27.2,0.7139897
27.4,0.7148487
27.6,0.7117711
27.8,0.7116768
28.0,0.7118286
28.2,0.710301
28.4,0.711303
28.6,0.710521
28.8,0.7088473
29.0,0.709407
29.2,0.7101202
29.4,0.7093269
29.6,0.7068531
29.8,0.7091521
30.0,0.7076057
30.2,0.7103671
30.4,0.7087052
30.6,0.7087914
30.8,0.7052366
31.0,0.705139
31.2,0.7051346
31.4,0.7050377
31.6,0.705275
31.8,0.7058112
32.0,0.7051072
32.2,0.7044829
32.4,0.7040002
32.6,0.7023693
32.8,0.7029295
33.0,0.7012118
33.2,0.7028949
33.4,0.702361
33.6,0.7005011
33.8,0.7033967
34.0,0.7003584
34.2,0.7011556
34.4,0.6991845
34.6,0.6994131
34.8,0.6986508
35.0,0.6986062
35.2,0.6998372
35.4,0.6983592
35.6,0.6979309
35.8,0.6986411
36.0,0.6980212
36.2,0.6970844
36.4,0.6952176
36.6,0.698236
36.8,0.6953638
37.0,0.6958736
37.2,0.6957441
37.4,0.6952049
37.6,0.6938511
37.8,0.6954648
38.0,0.6948683
38.2,0.6952057
38.4,0.6941838
38.6,0.6950443
38.8,0.6923522
39.0,0.6923153
39.2,0.6905567
39.4,0.6909678
39.6,0.6917321
39.8,0.6924819
40.0,0.691379
40.2,0.6896086
40.4,0.6907262
40.6,0.6892839
40.8,0.6893594
41.0,0.6900356
41.2,0.6914346
41.4,0.6878683
41.6,0.6902129
41.8,0.6880143
42.0,0.6894963
42.2,0.6879529
42.4,0.6873763
42.6,0.6871398
42.8,0.6862562
43.0,0.6876126
43.2,0.6856963
43.4,0.6855776
43.6,0.6838662
43.8,0.6845271
44.0,0.6836585
44.2,0.6834008
44.4,0.6827991
44.6,0.6828911
44.8,0.6826761
45.0,0.6827491
45.2,0.6827286
45.4,0.6818634
45.6,0.6810701
45.8,0.6802654
46.0,0.6803892
46.2,0.681332
46.4,0.6808544
46.6,0.6800642
46.8,0.6791689
47.0,0.6798912
47.2,0.6786236
47.4,0.676545
47.6,0.6769738
47.8,0.6777708
48.0,0.6774522
48.2,0.6767925
48.4,0.6769324
48.6,0.67529
48.8,0.6740159
49.0,0.6739585
49.2,0.6736686
49.4,0.6734749
49.6,0.6743144
49.8,0.6748751
50.0,0.6730845
50.2,0.6738411
50.4,0.6727698
50.6,0.6729821
50.8,0.671598
51.0,0.6722482
51.2,0.671943
51.4,0.670425
51.6,0.6721959
51.8,0.6711398
52.0,0.6702494
52.2,0.6696932
52.4,0.6692904
52.6,0.6685157
52.8,0.6692583
53.0,0.6692134
53.2,0.6675286
53.4,0.6688542
53.6,0.6669643
53.8,0.6680096
54.0,0.6671974
54.2,0.6672935
54.4,0.6699578
54.6,0.6678835
54.8,0.6654197
55.0,0.6655069
55.2,0.6655812
55.4,0.6650335
55.6,0.6638746
55.8,0.6661108
56.0,0.6642708
56.2,0.6648993
56.4,0.6647291
56.6,0.6640273
56.8,0.6606851
57.0,0.6635979
57.2,0.6616343
57.4,0.6632117
57.6,0.6608082
57.8,0.6618839
58.0,0.660464
58.2,0.6619886
58.4,0.6628129
58.6,0.6594881
58.8,0.6601498
59.0,0.6602267
59.2,0.6590119
59.4,0.6612544
59.6,0.6591108
59.8,0.6598946
60.0,0.6580758
60.2,0.6591977
60.4,0.6570737
60.6,0.6593832
60.8,0.6569045
61.0,0.6586467
61.2,0.6579583
61.4,0.6560065
61.6,0.6567212
61.8,0.6565825
62.0,0.6557555
62.2,0.6555988
62.4,0.6562188
62.6,0.6554268
62.8,0.6550035
63.0,0.6554161
63.2,0.6533277
63.4,0.6537561
63.6,0.6525293
63.8,0.6526259
64.0,0.6520447
64.2,0.6537791
64.4,0.6528808
64.6,0.6526603
64.8,0.6530569
65.0,0.650116
65.2,0.6526674
65.4,0.6512484
65.6,0.6497757
65.8,0.6509543
66.0,0.6509333
66.2,0.6496372
66.4,0.6477307
66.6,0.6482115
66.8,0.6467758
67.0,0.6480326
67.2,0.6492892
67.4,0.6479176
67.6,0.6473282
67.8,0.6475848
68.0,0.6469924
68.2,0.6460711
68.4,0.6463842
68.6,0.6448246
68.8,0.6462229
69.0,0.6462498
69.2,0.6452903
69.4,0.6445851
69.6,0.644109
69.8,0.64412
70.0,0.6433712
70.2,0.6444544
70.4,0.6426986
70.6,0.6426148
70.8,0.6444043
71.0,0.641905
71.2,0.6428978
71.4,0.6391353
71.6,0.6412732
71.8,0.6406252
72.0,0.6409875
72.2,0.6409654
72.4,0.6403308
72.6,0.639316
72.8,0.6394742
73.0,0.6407523
73.2,0.6372652
73.4,0.6379657
73.6,0.6375101
73.8,0.6389197
74.0,0.637983
74.2,0.6373359
74.4,0.6386775
74.6,0.6352693
74.8,0.6367819
75.0,0.6341994
75.2,0.6339858
75.4,0.6362979
75.6,0.6356022
75.8,0.6356176
76.0,0.6349417
76.2,0.6334043
76.4,0.6336352
76.6,0.6349839
76.8,0.6324801
77.0,0.6332303
77.2,0.6332624
77.4,0.6322118
77.6,0.6314767
77.8,0.6322563
78.0,0.6314269
78.2,0.6291456
78.4,0.6326919
78.6,0.6299613
78.8,0.6312524
79.0,0.6303609
79.2,0.6301832
79.4,0.6287196
79.6,0.6298407
79.8,0.6284144
80.0,0.6298915
80.2,0.6286194
80.4,0.6290151
80.6,0.6285828
80.8,0.6296764
81.0,0.6273965
81.2,0.6289678
81.4,0.6261433
