t,a
0.2,0.1097686
0.4,0.1105819
0.6,0.1047585
0.8,0.1067085
1.0,0.1033661
1.2,0.1026433
1.4,0.1027148
1.6,0.0995148
1.8,0.100092
2.0,0.09789928
2.2,0.0991614
2.4,0.09588904
2.6,0.09680856
2.8,0.0950212
3.0,0.09538438
3.2,0.09412313
3.4,0.09283811
3.6,0.09165417
3.8,0.0906321
4.0,0.09160738
4.2,0.09034509
4.4,0.09090705
4.6,0.08931205
4.8,0.08882337
5.0,0.08860839
5.2,0.08769179
5.4,0.08748221
5.6,0.0868382
5.8,0.08637536
6.0,0.08544891
6.2,0.08524327
6.4,0.08375621
6.6,0.08432091
6.8,0.08413829
7.0,0.08223035
7.2,0.08367863
7.4,0.08275344
7.6,0.08211292
7.8,0.08201117
8.0,0.08136283
8.2,0.08091306
8.4,0.08036895
8.6,0.07993584
8.8,0.07946919
9.0,0.07983833
9.2,0.07947817
9.4,0.07835562
9.6,0.07876333
9.8,0.07802473
10.0,0.07766063
10.2,0.0774183
10.4,0.07632761
10.6,0.07649512
10.8,0.07595394
11.0,0.0761968
11.2,0.07543344
11.4,0.07596623
11.6,0.07478432
11.8,0.07449697
12.0,0.07535684
12.2,0.07348341
12.4,0.07355086
12.6,0.07421081
12.8,0.07320649
13.0,0.07298642
13.2,0.07256455
13.4,0.07278797
13.6,0.0725001
13.8,0.07155946
14.0,0.07201544
14.2,0.07164008
14.4,0.07081847
14.6,0.07140136
14.8,0.07065754
15.0,0.07075476
15.2,0.06926062
15.4,0.06874987
15.6,0.07022789
15.8,0.07046298
16.0,0.07026509
16.2,0.06906084
16.4,0.06958276
16.6,0.06921158
16.8,0.06860629
17.0,0.06883446
17.2,0.06839478
17.4,0.06701499
17.6,0.06744117
17.8,0.06758658
18.0,0.06735138
18.2,0.06689772
18.4,0.06647979
18.6,0.0647824
18.8,0.06515127
19.0,0.06663287
19.2,0.06673052
19.4,0.06671404
19.6,0.06610246
19.8,0.06449717
20.0,0.06507261
20.2,0.06573014
20.4,0.06436376
20.6,0.06469878
20.8,0.06367241
21.0,0.06362077
21.2,0.06444636
21.4,0.06294155
21.6,0.06431487
21.8,0.06361081
22.0,0.06296947
22.2,0.06364772
22.4,0.06374846
22.6,0.06304223
22.8,0.06264172
23.0,0.0631194
23.2,0.06175424
23.4,0.06411204
23.6,0.06231286
23.8,0.06217348
24.0,0.06204498
24.2,0.06178502
24.4,0.06114212
24.6,0.06126382
24.8,0.06139197
25.0,0.06068877
25.2,0.06137335
25.4,0.06033061
25.6,0.06056523
25.8,0.0610117
26.0,0.06065325
26.2,0.06046115
26.4,0.06058951
26.6,0.06018467
26.8,0.06038961
27.0,0.05927989
27.2,0.05966347
27.4,0.0590423
27.6,0.05978774
27.8,0.05954826
28.0,0.06074219
28.2,0.06005687
28.4,0.05856832
28.6,0.05867313
28.8,0.05865373
29.0,0.05780918
29.2,0.05939296
29.4,0.05876649
29.6,0.05784193
29.8,0.05787128
30.0,0.05837194
30.2,0.0574811
30.4,0.05762211
30.6,0.05680257
30.8,0.05747684
31.0,0.0582084
31.2,0.05679463
31.4,0.05720937
31.6,0.05712778
31.8,0.05607967
32.0,0.05666987
32.2,0.05714714
32.4,0.05593778
32.6,0.05674999
32.8,0.05693877
33.0,0.05629309
33.2,0.05680222
33.4,0.05729127
33.6,0.05485544
33.8,0.05593784
34.0,0.05566688
34.2,0.05594724
34.4,0.05516324
34.6,0.05523898
34.8,0.05489793
35.0,0.05555262
35.2,0.05479077
35.4,0.05510147
35.6,0.05580045
35.8,0.05444678
36.0,0.05441409
36.2,0.05496315
36.4,0.05493253
36.6,0.05554068
36.8,0.0542657
37.0,0.05464392
37.2,0.05412906
37.4,0.05441463
37.6,0.05394885
37.8,0.0539154
38.0,0.05352027
38.2,0.05420196
38.4,0.05360351
38.6,0.05347238
38.8,0.05332395
39.0,0.05343761
39.2,0.05341587
39.4,0.05259073
39.6,0.0524943
39.8,0.05317244
40.0,0.05278766
40.2,0.05225574
40.4,0.05343055
40.6,0.05217696
40.8,0.05243237
41.0,0.05148826
41.2,0.05263392
41.4,0.05208249
41.6,0.05234023
41.8,0.05244575
42.0,0.05163258
42.2,0.05231608
42.4,0.05220244
42.6,0.05186918
42.8,0.05153115
43.0,0.05179313
43.2,0.05189906
43.4,0.05172058
43.6,0.05161107
43.8,0.05167417
44.0,0.05084015
44.2,0.05206525
44.4,0.05189574
44.6,0.05024436
44.8,0.05092428
45.0,0.05095748
45.2,0.05018853
45.4,0.05213531
45.6,0.05004022
45.8,0.05090254
46.0,0.05140642
46.2,0.05095188
46.4,0.04929005
46.6,0.05068277
46.8,0.04977624
47.0,0.05047547
47.2,0.05083978
47.4,0.04975369
47.6,0.05063077
47.8,0.04991636
48.0,0.05035604
48.2,0.04971823
48.4,0.0501234
48.6,0.04906409
48.8,0.05000543
49.0,0.0496222
49.2,0.04935262
49.4,0.04960008
49.6,0.04968389
49.8,0.04807005
50.0,0.04957544
50.2,0.04985676
50.4,0.04905723
50.6,0.04922228
50.8,0.04930308
51.0,0.04849556
51.2,0.04850063
51.4,0.04827549
51.6,0.0482853
51.8,0.04901791
52.0,0.04918191
52.2,0.04743675
52.4,0.04858719
52.6,0.04789662
52.8,0.04809813
53.0,0.04916902
53.2,0.04850779
53.4,0.04788623
53.6,0.04848014
53.8,0.04840862
54.0,0.0484983
54.2,0.04800425
54.4,0.04683138
54.6,0.04788675
54.8,0.04825947
55.0,0.04789362
55.2,0.04733449
55.4,0.04748841
55.6,0.04750126
55.8,0.04729655
56.0,0.04715602
56.2,0.04673951
56.4,0.04754366
56.6,0.04733916
56.8,0.04688187
57.0,0.0470151
57.2,0.04677944
57.4,0.04758584
57.6,0.04727144
57.8,0.0462796
58.0,0.04739564
58.2,0.04695511
58.4,0.04720155
58.6,0.04722154
58.8,0.04675737
59.0,0.04609765
59.2,0.0460642
59.4,0.04662813
59.6,0.04640631
59.8,0.04580769
60.0,0.04577508
60.2,0.04680629
60.4,0.04604337
60.6,0.04632776
60.8,0.04617067
61.0,0.04669259
61.2,0.04504261
61.4,0.04580516
61.6,0.04580118
61.8,0.04640638
62.0,0.04662709
62.2,0.04583959
62.4,0.04502958
62.6,0.04520317
62.8,0.04569787
63.0,0.04598221
63.2,0.04528098
63.4,0.04505852
63.6,0.04477897
63.8,0.04469306
64.0,0.04438673
64.2,0.04555384
64.4,0.04498067
64.6,0.04617288
64.8,0.04497847
65.0,0.04486724
65.2,0.04521627
65.4,0.04482472
65.6,0.04529912
65.8,0.04486506
66.0,0.04430455
66.2,0.04538262
66.4,0.04523042
66.6,0.04460174
66.8,0.0446249
67.0,0.0447299
67.2,0.04481155
67.4,0.04592319
67.6,0.04521398
67.8,0.04470225
68.0,0.04493299
68.2,0.04384391
68.4,0.04420634
68.6,0.04468365
68.8,0.04327403
69.0,0.04420394
69.2,0.04418235
69.4,0.04392491
69.6,0.04403862
69.8,0.04380272
70.0,0.04410645
70.2,0.04368064
70.4,0.04419475
70.6,0.04309183
70.8,0.04484199
71.0,0.04433668
71.2,0.04440489
71.4,0.04464543
71.6,0.04370825
71.8,0.04302224
72.0,0.04323795
72.2,0.0433392
72.4,0.04374199
72.6,0.04320095
72.8,0.04414566
73.0,0.04284695
73.2,0.04255933
73.4,0.04332121
73.6,0.04311765
73.8,0.04376145
74.0,0.04366513
74.2,0.04192208
74.4,0.04383839
74.6,0.04367485
74.8,0.04307202
75.0,0.04280687
75.2,0.04244529
75.4,0.04294831
75.6,0.04370145
75.8,0.04270966
76.0,0.04272089
76.2,0.04275158
76.4,0.04273663
76.6,0.04332063
76.8,0.04339615
