t,a
0.2,0.1625692
0.4,0.1708233
0.6,0.1580846
0.8,0.1660567
1.0,0.1550862
1.2,0.1606517
1.4,0.1530963
1.6,0.1585709
1.8,0.1523414
2.0,0.1526819
2.2,0.1516179
2.4,0.1499756
2.6,0.1500034
2.8,0.1478071
3.0,0.1503434
3.2,0.1444764
3.4,0.1478786
3.6,0.1425874
3.8,0.1468934
4.0,0.1405976
4.2,0.1448871
4.4,0.1385716
4.6,0.14447
4.8,0.1381415
5.0,0.142961
5.2,0.137844
5.4,0.1392041
5.6,0.1366685
5.8,0.1379454
6.0,0.1368545
6.2,0.1376941
6.4,0.1364797
6.6,0.1349564
6.8,0.1351007
7.0,0.1341194
7.2,0.1344793
7.4,0.1331618
7.6,0.1344724
7.8,0.1303569
8.0,0.1333187
8.2,0.1305682
8.4,0.1317155
8.6,0.1305782
8.8,0.1314705
9.0,0.1284224
9.2,0.1298307
9.4,0.1293139
9.6,0.1298407
9.8,0.1286182
10.0,0.1282418
10.2,0.1280254
10.4,0.1271891
10.6,0.1265079
10.8,0.1253569
11.0,0.1268013
11.2,0.1235927
11.4,0.1261182
11.6,0.1232744
11.8,0.1250433
12.0,0.1237823
12.2,0.1243716
12.4,0.1230429
12.6,0.1241084
12.8,0.1224049
13.0,0.1235249
13.2,0.1225149
13.4,0.1225575
13.6,0.121139
13.8,0.121853
14.0,0.1214927
14.2,0.1207496
14.4,0.120068
14.6,0.1202704
14.8,0.1200991
15.0,0.1179287
15.2,0.1194648
15.4,0.1186419
15.6,0.1191463
15.8,0.1194199
16.0,0.118839
16.2,0.117246
16.4,0.1174121
16.6,0.1169531
16.8,0.1170874
17.0,0.1162738
17.2,0.1169481
17.4,0.1167947
17.6,0.1153581
17.8,0.1164238
18.0,0.1144516
18.2,0.1155464
18.4,0.1130778
18.6,0.1151266
18.8,0.1147008
19.0,0.1148448
19.2,0.1141192
19.4,0.1152705
19.6,0.1129522
19.8,0.1142539
20.0,0.1127372
20.2,0.1132573
20.4,0.1128787
20.6,0.1124298
20.8,0.1112749
21.0,0.1115466
21.2,0.1117048
21.4,0.1122208
21.6,0.1114429
21.8,0.1110089
22.0,0.1121441
22.2,0.1109657
22.4,0.1109798
22.6,0.1102886
22.8,0.1105516
23.0,0.109295
23.2,0.1097864
23.4,0.1096467
23.6,0.1108687
23.8,0.109669
24.0,0.1091761
24.2,0.1089641
24.4,0.1082657
24.6,0.1090366
24.8,0.1091746
25.0,0.1083993
25.2,0.1077092
25.4,0.1084892
25.6,0.1073287
25.8,0.1086857
26.0,0.1075746
26.2,0.1073797
26.4,0.1064566
26.6,0.1073121
26.8,0.106517
27.0,0.1075855
27.2,0.1068086
27.4,0.1054896
27.6,0.1067509
27.8,0.1068429
28.0,0.1060578
28.2,0.1066206
28.4,0.1050054
28.6,0.1054846
28.8,0.1052881
29.0,0.1058424
29.2,0.1050511
29.4,0.1053926
29.6,0.1047817
29.8,0.1037931
30.0,0.1040522
30.2,0.1040252
30.4,0.1041949
30.6,0.1040069
30.8,0.1039739
31.0,0.1043359
31.2,0.1032325
31.4,0.103554
31.6,0.1032111
31.8,0.1037893
32.0,0.1032663
32.2,0.1027654
32.4,0.1030736
32.6,0.10225
32.8,0.1024898
33.0,0.1018733
33.2,0.1016415
33.4,0.1018212
33.6,0.1018338
33.8,0.1023253
34.0,0.101993
34.2,0.101696
34.4,0.1012886
34.6,0.1017912
34.8,0.1006505
35.0,0.1009027
35.2,0.1005009
35.4,0.1006775
35.6,0.1002298
35.8,0.1010305
36.0,0.1000662
36.2,0.1006275
36.4,0.1006331
36.6,0.1004264
36.8,0.09906742
37.0,0.1005981
37.2,0.09970143
37.4,0.09952841
37.6,0.1001448
37.8,0.09966871
38.0,0.09905633
38.2,0.09868355
38.4,0.09956334
38.6,0.0991547
38.8,0.09856728
39.0,0.09876982
39.2,0.09864185
39.4,0.09769544
39.6,0.0979906
39.8,0.0995
40.0,0.09856268
40.2,0.09830791
40.4,0.09780212
40.6,0.0979232
40.8,0.09704052
41.0,0.09765733
41.2,0.09719624
41.4,0.09852696
41.6,0.09759899
41.8,0.09837172
42.0,0.09733859
42.2,0.09806686
42.4,0.09667387
42.6,0.09608456
42.8,0.09625964
43.0,0.09610012
43.2,0.09674059
43.4,0.09746249
43.6,0.09646685
43.8,0.09619436
44.0,0.09596155
44.2,0.09664909
44.4,0.09641276
44.6,0.09608948
44.8,0.09538805
45.0,0.09529256
45.2,0.09583207
45.4,0.0964985
45.6,0.09608276
45.8,0.09520279
46.0,0.09519949
46.2,0.09559635
46.4,0.09463063
46.6,0.09449946
46.8,0.09512242
47.0,0.09493574
47.2,0.09491739
47.4,0.09510011
47.6,0.09389461
47.8,0.09425503
48.0,0.09519626
48.2,0.09421306
48.4,0.09400899
48.6,0.09432466
48.8,0.09387847
49.0,0.09362105
49.2,0.0936605
49.4,0.0938144
49.6,0.09391147
49.8,0.09359734
50.0,0.09297208
50.2,0.09290953
50.4,0.09382119
50.6,0.09336489
50.8,0.09202049
51.0,0.09227135
51.2,0.09240786
51.4,0.09324167
51.6,0.09302165
51.8,0.09237712
52.0,0.09271027
52.2,0.09349074
52.4,0.09239865
52.6,0.09289807
52.8,0.09276911
53.0,0.09202834
53.2,0.09247888
53.4,0.09205459
53.6,0.09208648
53.8,0.09198643
54.0,0.09257263
54.2,0.09328872
54.4,0.09219656
54.6,0.09104687
54.8,0.09164342
55.0,0.0921122
55.2,0.09119292
55.4,0.09153695
55.6,0.09169415
55.8,0.09126592
56.0,0.0918087
56.2,0.0917012
56.4,0.09113577
56.6,0.0903747
56.8,0.09068318
57.0,0.08985479
57.2,0.09109993
57.4,0.0903002
57.6,0.09045545
57.8,0.0909925
58.0,0.09015771
58.2,0.09077375
58.4,0.09026194
58.6,0.09098199
58.8,0.0906796
59.0,0.08953134
59.2,0.08997825
59.4,0.09103377
59.6,0.09006754
59.8,0.09001198
60.0,0.08933374
60.2,0.08912057
60.4,0.08890243
60.6,0.09113045
60.8,0.0894949
61.0,0.08963812
61.2,0.08924676
61.4,0.08906562
61.6,0.0899508
61.8,0.08916
62.0,0.0886465
62.2,0.08896862
62.4,0.08893482
62.6,0.08935185
62.8,0.08867018
63.0,0.08892022
63.2,0.08837703
63.4,0.08895073
63.6,0.08750559
63.8,0.08893588
64.0,0.08893797
64.2,0.08850529
64.4,0.08799844
64.6,0.08830779
64.8,0.08777126
65.0,0.08802431
65.2,0.08891154
65.4,0.08875758
65.6,0.08701671
65.8,0.08875744
66.0,0.08784825
66.2,0.08834608
66.4,0.0882354
66.6,0.08748236
66.8,0.08759798
67.0,0.08777054
67.2,0.0870963
67.4,0.08675001
67.6,0.08675472
67.8,0.08706738
68.0,0.08670808
68.2,0.08779342
68.4,0.08649548
68.6,0.08730843
68.8,0.08765368
69.0,0.08795881
69.2,0.08705925
69.4,0.08661238
69.6,0.08668694
69.8,0.08755722
70.0,0.08637481
70.2,0.08643998
70.4,0.08637714
70.6,0.0870427
70.8,0.08633663
71.0,0.08664677
71.2,0.08663868
71.4,0.08615982
71.6,0.08675868
71.8,0.08651826
72.0,0.08609982
72.2,0.08665584
72.4,0.08663033
72.6,0.08604665
72.8,0.08468026
73.0,0.08493955
73.2,0.08620866
73.4,0.0867114
73.6,0.08635093
73.8,0.08569031
74.0,0.08499379
74.2,0.08571542
74.4,0.08435839
74.6,0.08612373
74.8,0.08579183
75.0,0.08515806
75.2,0.08581371
75.4,0.08572739
75.6,0.08409106
75.8,0.08554578
76.0,0.08526701
76.2,0.08526654
76.4,0.08427324
76.6,0.08553034
76.8,0.08469214
77.0,0.08541066
77.2,0.08435394
77.4,0.08484628
77.6,0.08423955
77.8,0.08406199
78.0,0.08520292
78.2,0.08482054
78.4,0.08375425
78.6,0.08471138
78.8,0.08433802
79.0,0.08433548
79.2,0.0849223
79.4,0.08430357
79.6,0.08367392
79.8,0.08397533
80.0,0.08316343
80.2,0.08355785
80.4,0.08370014
80.6,0.08468473
80.8,0.083181
81.0,0.08369306
81.2,0.08391313
81.4,0.08368435
81.6,0.0830542
81.8,0.08292404
82.0,0.08351932
82.2,0.08416408
82.4,0.08340265
82.6,0.08382655
82.8,0.08308044
83.0,0.08286609
83.2,0.0829038
83.4,0.08314382
83.6,0.08256855
