t,a
0.2,0.1577377
0.4,0.1662595
0.6,0.1548598
0.8,0.162445
1.0,0.1512748
1.2,0.1578586
1.4,0.1485487
1.6,0.1536252
1.8,0.1498683
2.0,0.1498685
2.2,0.147332
2.4,0.1461381
2.6,0.1474831
2.8,0.1438753
3.0,0.1452132
3.2,0.1415573
3.4,0.1453658
3.6,0.1394133
3.8,0.1443249
4.0,0.1385951
4.2,0.1423137
4.4,0.1353963
4.6,0.1402264
4.8,0.1347307
5.0,0.1384444
5.2,0.1348033
5.4,0.1372021
5.6,0.1335581
5.8,0.1349344
6.0,0.1327012
6.2,0.1330298
6.4,0.1323348
6.6,0.1321534
6.8,0.1325575
7.0,0.1308184
7.2,0.1318622
7.4,0.1292616
7.6,0.1312033
7.8,0.128973
8.0,0.1296869
8.2,0.1270369
8.4,0.1287933
8.6,0.1274767
8.8,0.128676
9.0,0.1258558
9.2,0.1267978
9.4,0.1254515
9.6,0.1247081
9.8,0.1256377
10.0,0.1245876
10.2,0.1243997
10.4,0.1234966
10.6,0.1240191
10.8,0.1218836
11.0,0.1231888
11.2,0.1216349
11.4,0.1225971
11.6,0.120885
11.8,0.1221414
12.0,0.1196157
12.2,0.1217557
12.4,0.1194466
12.6,0.1207231
12.8,0.1190007
13.0,0.1196
13.2,0.1179811
13.4,0.119189
13.6,0.1180193
13.8,0.1172987
14.0,0.1177319
14.2,0.11701
14.4,0.1169926
14.6,0.1162123
14.8,0.1163677
15.0,0.1155673
15.2,0.1161986
15.4,0.115695
15.6,0.1166092
15.8,0.1154965
16.0,0.1142992
16.2,0.1141522
16.4,0.1148138
16.6,0.1140797
16.8,0.1142628
17.0,0.1138723
17.2,0.1132827
17.4,0.1142395
17.6,0.1115803
17.8,0.1132891
18.0,0.1131194
18.2,0.1129764
18.4,0.1105293
18.6,0.1124023
18.8,0.1107514
19.0,0.1109878
19.2,0.1105704
19.4,0.1113657
19.6,0.1112572
19.8,0.1104793
20.0,0.1104837
20.2,0.1118424
20.4,0.1090771
20.6,0.1086157
20.8,0.10911
21.0,0.10907
21.2,0.1085687
21.4,0.1091913
21.6,0.108578
21.8,0.1083329
22.0,0.1085104
22.2,0.1085829
22.4,0.107434
22.6,0.1088447
22.8,0.1082051
23.0,0.1073431
23.2,0.1071624
23.4,0.1068546
23.6,0.1071156
23.8,0.1078766
24.0,0.1070985
24.2,0.1054072
24.4,0.1053469
24.6,0.1058319
24.8,0.1053843
25.0,0.1061278
25.2,0.1048806
25.4,0.1060692
25.6,0.1043377
25.8,0.10558
26.0,0.1042917
26.2,0.104816
26.4,0.1036232
26.6,0.1046141
26.8,0.1036357
27.0,0.1038502
27.2,0.1041683
27.4,0.1042763
27.6,0.1028774
27.8,0.1030898
28.0,0.1027912
28.2,0.1030737
28.4,0.1042946
28.6,0.1036563
28.8,0.1020687
29.0,0.1031484
29.2,0.1019331
29.4,0.1029038
29.6,0.1022291
29.8,0.1014335
30.0,0.1014635
30.2,0.1012506
30.4,0.1016519
30.6,0.1020678
30.8,0.1007411
31.0,0.1016314
31.2,0.1007994
31.4,0.100972
31.6,0.1006561
31.8,0.1019793
32.0,0.1002002
32.2,0.1005996
32.4,0.09937615
32.6,0.1006125
32.8,0.09929065
33.0,0.1004502
33.2,0.0998976
33.4,0.09977063
33.6,0.09844644
33.8,0.0994429
34.0,0.09836844
34.2,0.09897829
34.4,0.09901322
34.6,0.09876963
34.8,0.09897241
35.0,0.09797111
35.2,0.09813493
35.4,0.09787322
35.6,0.09814531
35.8,0.09819752
36.0,0.09699365
36.2,0.09770835
36.4,0.09831098
36.6,0.09780658
36.8,0.09675026
37.0,0.09776572
37.2,0.09682582
37.4,0.09698942
37.6,0.09720841
37.8,0.09721354
38.0,0.09548879
38.2,0.09690827
38.4,0.09583046
38.6,0.09664326
38.8,0.09579599
39.0,0.09674584
39.2,0.0947156
39.4,0.09596464
39.6,0.09568849
39.8,0.09625357
40.0,0.09508277
40.2,0.09658747
40.4,0.09388049
40.6,0.0946199
40.8,0.09435897
41.0,0.09570797
41.2,0.0949528
41.4,0.09479696
41.6,0.09477777
41.8,0.09478686
42.0,0.0944135
42.2,0.09551924
42.4,0.09472927
42.6,0.09443962
42.8,0.09424234
43.0,0.09340233
43.2,0.09336435
43.4,0.09443195
43.6,0.09379136
43.8,0.09402626
44.0,0.09374061
44.2,0.09343016
44.4,0.09299456
44.6,0.09345294
44.8,0.09320393
45.0,0.09273282
45.2,0.09264054
45.4,0.09298377
45.6,0.09299014
45.8,0.09350492
46.0,0.09293242
46.2,0.0920672
46.4,0.09304015
46.6,0.09321546
46.8,0.09205442
47.0,0.09195578
47.2,0.09210412
47.4,0.09216694
47.6,0.09191851
47.8,0.09208593
48.0,0.09201331
48.2,0.0927891
48.4,0.09156862
48.6,0.09178363
48.8,0.09178022
49.0,0.09141469
49.2,0.09224647
49.4,0.09207442
49.6,0.09104389
49.8,0.09087735
50.0,0.09056941
50.2,0.09152787
50.4,0.09150035
50.6,0.09168536
50.8,0.09108292
51.0,0.09095354
51.2,0.09017505
51.4,0.09038339
51.6,0.09076424
51.8,0.09071197
52.0,0.08925631
52.2,0.0905113
52.4,0.09003221
52.6,0.09050658
52.8,0.09022
53.0,0.08983069
53.2,0.09031963
53.4,0.09018883
53.6,0.08984915
53.8,0.08936272
54.0,0.0899238
54.2,0.08961736
54.4,0.08964283
54.6,0.08982119
54.8,0.08940539
55.0,0.08933014
55.2,0.08878711
55.4,0.08862561
55.6,0.08847576
55.8,0.08858251
56.0,0.08879314
56.2,0.08934086
56.4,0.08850415
56.6,0.08803295
56.8,0.08794211
57.0,0.08818073
57.2,0.0882709
57.4,0.08856603
57.6,0.08749858
57.8,0.08795753
58.0,0.08794947
58.2,0.08826392
58.4,0.08808721
58.6,0.0885247
58.8,0.0874994
59.0,0.08848272
59.2,0.08784796
59.4,0.08775229
59.6,0.08763829
59.8,0.08765221
60.0,0.08759002
60.2,0.08736147
60.4,0.08723383
60.6,0.08724899
60.8,0.08756671
61.0,0.08741056
61.2,0.08560043
61.4,0.08705355
61.6,0.08615117
61.8,0.087199
62.0,0.08672027
62.2,0.0869393
62.4,0.08500389
62.6,0.08563219
62.8,0.08638722
63.0,0.0871145
63.2,0.08617023
63.4,0.0870081
63.6,0.08633609
63.8,0.08649925
64.0,0.08590365
64.2,0.08652276
64.4,0.08771144
64.6,0.08590409
64.8,0.08518847
65.0,0.08539926
65.2,0.08550354
65.4,0.08642975
65.6,0.08514129
65.8,0.08499094
66.0,0.08496082
66.2,0.08522514
66.4,0.08466977
66.6,0.08590339
66.8,0.08572901
67.0,0.08483298
67.2,0.08413352
67.4,0.08490049
67.6,0.08572089
67.8,0.08643221
68.0,0.08436462
68.2,0.08421147
68.4,0.08457473
68.6,0.08520677
68.8,0.08432428
69.0,0.08429881
69.2,0.08386661
69.4,0.08533732
69.6,0.08440545
69.8,0.08487638
70.0,0.08556812
70.2,0.08475777
70.4,0.08449938
70.6,0.08424574
70.8,0.08402094
71.0,0.08372587
71.2,0.0839423
71.4,0.08448668
71.6,0.08330384
71.8,0.08361005
72.0,0.08352584
72.2,0.08469091
72.4,0.08449719
72.6,0.08415973
72.8,0.08295402
73.0,0.08348103
73.2,0.08291262
73.4,0.08398393
73.6,0.08366421
73.8,0.08356522
74.0,0.08312958
74.2,0.08316281
74.4,0.08261887
74.6,0.08418731
74.8,0.08241248
75.0,0.08263326
75.2,0.08262936
75.4,0.08344855
75.6,0.08249644
75.8,0.08397106
76.0,0.08256392
76.2,0.08310358
76.4,0.08262351
76.6,0.08287002
76.8,0.0821825
77.0,0.08336977
77.2,0.08196287
77.4,0.08162086
77.6,0.08190442
77.8,0.08252482
78.0,0.08223592
78.2,0.08218199
78.4,0.08258562
78.6,0.08313347
78.8,0.08166111
79.0,0.08155207
79.2,0.08221869
79.4,0.08288712
79.6,0.08195443
79.8,0.08226495
80.0,0.08160044
80.2,0.08216777
80.4,0.08133076
80.6,0.08194417
80.8,0.08080769
81.0,0.08180295
81.2,0.08107178
81.4,0.08094095
81.6,0.08168198
81.8,0.0820389
82.0,0.08021158
82.2,0.08168411
82.4,0.08094516
82.6,0.08142884
82.8,0.08167437
83.0,0.0814651
83.2,0.08006857
83.4,0.08099833
83.6,0.0792572
83.8,0.08138095
84.0,0.08085217
84.2,0.08152704
84.4,0.07997201
84.6,0.08045049
84.8,0.08011205
85.0,0.08082996
85.2,0.08111338
85.4,0.08069382
85.6,0.08099402
85.8,0.08030172
86.0,0.07980172
86.2,0.08202669
86.4,0.08063682
86.6,0.0796986
86.8,0.07988565
87.0,0.08093436
87.2,0.07945694
87.4,0.0805112
87.6,0.08043622
87.8,0.08062646
88.0,0.08050378
88.2,0.08054149
88.4,0.07958165
88.6,0.0802107
88.8,0.07974975
89.0,0.07946519
89.2,0.07951439
89.4,0.07945059
89.6,0.07995981
89.8,0.07946431
90.0,0.07893635
90.2,0.07922755
90.4,0.07840574
90.6,0.0792154
90.8,0.08035994
91.0,0.07924123
91.2,0.07796619
91.4,0.07933683
91.6,0.0786308
91.8,0.07918331
92.0,0.07992347
92.2,0.07886105
92.4,0.07849136
92.6,0.07989753
92.8,0.07840301
