t,a
0.2,0.101958
0.4,0.1022539
0.6,0.09739248
0.8,0.09892468
1.0,0.0961685
1.2,0.09511895
1.4,0.09400479
1.6,0.09291715
1.8,0.09156974
2.0,0.09069448
2.2,0.09100222
2.4,0.08748767
2.6,0.08826474
2.8,0.0859612
3.0,0.08702671
3.2,0.08492992
3.4,0.08490745
3.6,0.08514464
3.8,0.08410231
4.0,0.08338036
4.2,0.08181482
4.4,0.08236712
4.6,0.08019459
4.8,0.08002017
5.0,0.08028207
5.2,0.07890348
5.4,0.07901414
5.6,0.07862988
5.8,0.0785062
6.0,0.07781717
6.2,0.07754593
6.4,0.07552431
6.6,0.07600641
6.8,0.07608613
7.0,0.07452492
7.2,0.07547471
7.4,0.07360196
7.6,0.0739832
7.8,0.07319771
8.0,0.07361981
8.2,0.07208011
8.4,0.07284165
8.6,0.07127107
8.8,0.0713527
9.0,0.07138551
9.2,0.06977242
9.4,0.07046621
9.6,0.06981377
9.8,0.06936718
10.0,0.06975636
10.2,0.07048551
10.4,0.06801866
10.6,0.06872289
10.8,0.06855214
11.0,0.06746695
11.2,0.06677045
11.4,0.0672173
11.6,0.06740396
11.8,0.06669975
12.0,0.06636602
12.2,0.06536844
12.4,0.06582216
12.6,0.06570576
12.8,0.0647346
13.0,0.06615965
13.2,0.06492791
13.4,0.06375834
13.6,0.06553812
13.8,0.06421688
14.0,0.06334459
14.2,0.0635163
14.4,0.06321311
14.6,0.06298788
14.8,0.06330747
15.0,0.06339506
15.2,0.06230744
15.4,0.06225303
15.6,0.06217487
15.8,0.06125175
16.0,0.0617652
16.2,0.06020033
16.4,0.06145345
16.6,0.06057653
16.8,0.06002981
17.0,0.06123826
17.2,0.05951117
17.4,0.05901788
17.6,0.06042339
17.8,0.05943345
18.0,0.05803286
18.2,0.05948997
18.4,0.05857004
18.6,0.05708435
18.8,0.05702081
19.0,0.05698533
19.2,0.05768935
19.4,0.05806379
19.6,0.05768518
19.8,0.05706433
20.0,0.05727528
20.2,0.05744439
20.4,0.05735612
20.6,0.05694534
20.8,0.05680508
21.0,0.05678138
21.2,0.05648827
21.4,0.05555737
21.6,0.05599808
21.8,0.05661754
22.0,0.054779
22.2,0.0553166
22.4,0.05554128
22.6,0.05430363
22.8,0.05482293
23.0,0.05506129
23.2,0.0563078
23.4,0.05582561
23.6,0.0544934
23.8,0.05391378
24.0,0.05374627
24.2,0.05472566
24.4,0.05227121
24.6,0.05315467
24.8,0.05294323
25.0,0.05329534
25.2,0.05410029
25.4,0.05327799
25.6,0.05319009
25.8,0.05407703
26.0,0.0529005
26.2,0.05252419
26.4,0.05238343
26.6,0.05189544
26.8,0.05224034
27.0,0.0518416
27.2,0.05119286
27.4,0.05197255
27.6,0.0516846
27.8,0.05161109
28.0,0.05161218
28.2,0.05131633
28.4,0.05017665
28.6,0.05097954
28.8,0.05101987
29.0,0.05039826
29.2,0.05074335
29.4,0.05092469
29.6,0.04994216
29.8,0.05049074
30.0,0.05066547
30.2,0.04960768
30.4,0.04944266
30.6,0.04939743
30.8,0.04897263
31.0,0.0494234
31.2,0.04913347
31.4,0.04998806
31.6,0.04948749
31.8,0.04924202
32.0,0.04934093
32.2,0.04894681
32.4,0.04833285
32.6,0.04930011
32.8,0.04858839
33.0,0.04847591
33.2,0.04879148
33.4,0.0481732
33.6,0.04785343
33.8,0.04818851
34.0,0.04881097
34.2,0.04795146
34.4,0.04779474
34.6,0.04786796
34.8,0.0469873
35.0,0.04711785
35.2,0.04705117
