t,a
0.2,0.1434609
0.4,0.1505139
0.6,0.1391293
0.8,0.1466467
1.0,0.1386577
1.2,0.1421561
1.4,0.1365346
1.6,0.1371958
1.8,0.1360286
2.0,0.1335866
2.2,0.1353812
2.4,0.1313455
2.6,0.1332784
2.8,0.1289663
3.0,0.1318619
3.2,0.1268948
3.4,0.1308265
3.6,0.1265684
3.8,0.1289408
4.0,0.1249201
4.2,0.1269337
4.4,0.1239232
4.6,0.1250653
4.8,0.1238754
5.0,0.1241478
5.2,0.1236308
5.4,0.1219929
5.6,0.1232323
5.8,0.1204752
6.0,0.1224118
6.2,0.1196833
6.4,0.1215043
6.6,0.1175171
6.8,0.120369
7.0,0.1179851
7.2,0.1188451
7.4,0.1167206
7.6,0.1170865
7.8,0.1177586
8.0,0.1159021
8.2,0.1164354
8.4,0.1143206
8.6,0.1155934
8.8,0.1133647
9.0,0.1148439
9.2,0.113489
9.4,0.1141553
9.6,0.1119722
9.8,0.1130425
10.0,0.1109366
10.2,0.1124602
10.4,0.1108454
10.6,0.1107196
10.8,0.1113532
11.0,0.1102476
11.2,0.1102785
11.4,0.1106248
11.6,0.1101019
11.8,0.1090244
12.0,0.1087452
12.2,0.1082077
12.4,0.108568
12.6,0.1079032
12.8,0.1075372
13.0,0.1068053
13.2,0.1071239
13.4,0.1072794
13.6,0.1066942
13.8,0.1075152
14.0,0.1065313
14.2,0.1059755
14.4,0.1055194
14.6,0.1058134
14.8,0.1044674
15.0,0.1057492
15.2,0.1038285
15.4,0.1044446
15.6,0.1042098
15.8,0.103386
16.0,0.1029703
16.2,0.1029622
16.4,0.1033445
16.6,0.1029845
16.8,0.1024166
17.0,0.1013117
17.2,0.1020808
17.4,0.101355
17.6,0.1015094
17.8,0.1019521
18.0,0.1013266
18.2,0.1007619
18.4,0.1005536
18.6,0.1009332
18.8,0.1000154
19.0,0.1004694
19.2,0.09910849
19.4,0.1001308
19.6,0.09936069
19.8,0.1006876
20.0,0.0994544
20.2,0.09869647
20.4,0.09812688
20.6,0.09838511
20.8,0.09907172
21.0,0.09787107
21.2,0.09757588
21.4,0.09824652
21.6,0.09699303
21.8,0.09735894
22.0,0.0973541
22.2,0.09696209
22.4,0.09695923
22.6,0.09614923
22.8,0.09587724
23.0,0.09557975
23.2,0.09616943
23.4,0.09609744
23.6,0.09530712
23.8,0.0953331
24.0,0.09518412
24.2,0.09532236
24.4,0.09523706
24.6,0.09480621
24.8,0.09462989
25.0,0.09491138
25.2,0.09492746
25.4,0.09512135
25.6,0.09448592
25.8,0.09396427
26.0,0.09304368
26.2,0.0938483
26.4,0.09269192
26.6,0.09320576
26.8,0.09240641
27.0,0.09285625
27.2,0.09285349
27.4,0.09239339
27.6,0.09303011
27.8,0.09194472
28.0,0.09299692
28.2,0.09216104
28.4,0.09181218
28.6,0.09242259
28.8,0.09203476
29.0,0.0915002
29.2,0.09090943
29.4,0.09147856
29.6,0.0918242
29.8,0.09121983
30.0,0.09062148
30.2,0.09138262
30.4,0.09026107
30.6,0.09058151
30.8,0.09066791
31.0,0.09098138
31.2,0.09038964
31.4,0.08965315
31.6,0.08956203
31.8,0.09031399
32.0,0.08958458
32.2,0.09002244
32.4,0.09004331
32.6,0.08879188
32.8,0.08920414
33.0,0.08900213
33.2,0.08887148
33.4,0.08923701
33.6,0.08871286
33.8,0.08882403
34.0,0.08867043
34.2,0.08799243
34.4,0.08865015
34.6,0.08857197
34.8,0.08772163
35.0,0.088214
35.2,0.0874933
35.4,0.08841937
35.6,0.08818472
35.8,0.087999
36.0,0.08743003
36.2,0.08741519
36.4,0.08709391
36.6,0.0872097
36.8,0.08647977
37.0,0.08699329
37.2,0.08708754
37.4,0.08643972
37.6,0.08494204
37.8,0.08657512
38.0,0.08649075
38.2,0.08536759
38.4,0.08571211
38.6,0.08573262
38.8,0.08502125
39.0,0.08570369
39.2,0.08595713
39.4,0.08552677
39.6,0.08520547
39.8,0.08488324
40.0,0.08451003
40.2,0.08607713
40.4,0.08477569
40.6,0.08565665
40.8,0.08364544
41.0,0.08491719
41.2,0.0849029
41.4,0.08487234
41.6,0.08490412
41.8,0.08523925
42.0,0.08360135
42.2,0.08421076
42.4,0.0838612
42.6,0.08476217
42.8,0.08388147
43.0,0.08499628
43.2,0.08351877
43.4,0.08340546
43.6,0.0833416
43.8,0.08346652
44.0,0.08314875
44.2,0.08287024
44.4,0.08327211
44.6,0.08400552
44.8,0.08242149
45.0,0.0828007
45.2,0.08259919
45.4,0.08342175
45.6,0.08231093
45.8,0.08228379
46.0,0.08246562
46.2,0.08376761
46.4,0.08260592
46.6,0.08238316
46.8,0.08212319
47.0,0.08254135
47.2,0.0817916
47.4,0.08267836
47.6,0.08292287
47.8,0.08179396
48.0,0.0812908
48.2,0.0820862
48.4,0.08147317
48.6,0.08199349
48.8,0.08126402
49.0,0.08159789
49.2,0.08134943
49.4,0.08167089
49.6,0.08079958
49.8,0.08093639
50.0,0.08110287
50.2,0.08166637
50.4,0.07993535
50.6,0.07954568
50.8,0.0805519
51.0,0.08046543
51.2,0.08028639
51.4,0.08111575
51.6,0.08065309
51.8,0.08068687
52.0,0.07990822
52.2,0.08064982
52.4,0.07991066
52.6,0.08074985
52.8,0.07923276
53.0,0.07988766
53.2,0.07971197
53.4,0.07962625
53.6,0.07944913
53.8,0.08026822
54.0,0.07978011
54.2,0.07928011
54.4,0.07928561
54.6,0.07947988
54.8,0.07945451
55.0,0.07989593
55.2,0.07847951
55.4,0.07905298
55.6,0.07877693
55.8,0.07882948
56.0,0.07838278
56.2,0.07912988
56.4,0.07844348
56.6,0.07948475
56.8,0.07802446
57.0,0.07921481
57.2,0.07780252
57.4,0.07861627
57.6,0.07783992
57.8,0.07762009
58.0,0.07787604
58.2,0.07786702
58.4,0.07785896
58.6,0.07802801
58.8,0.07777355
59.0,0.07868707
59.2,0.0785582
59.4,0.07852497
59.6,0.07783997
59.8,0.07761981
60.0,0.07776049
60.2,0.07729022
60.4,0.07654968
60.6,0.07783897
60.8,0.07729818
61.0,0.07648629
61.2,0.07757437
61.4,0.07701839
61.6,0.07690053
61.8,0.07732909
62.0,0.07624264
62.2,0.07705644
62.4,0.07676019
62.6,0.07652104
62.8,0.0771033
63.0,0.07700497
63.2,0.07605048
63.4,0.07641741
63.6,0.07629499
63.8,0.07708947
64.0,0.07632959
64.2,0.07560556
64.4,0.07614538
64.6,0.07648163
64.8,0.0762713
65.0,0.07675198
65.2,0.07532797
65.4,0.07581185
65.6,0.07599361
65.8,0.07613638
66.0,0.07615468
66.2,0.07598753
66.4,0.07574672
66.6,0.07559679
66.8,0.07577173
67.0,0.07504542
67.2,0.07535304
67.4,0.07479152
67.6,0.07493927
67.8,0.07474022
68.0,0.07511131
68.2,0.07601364
68.4,0.07514871
68.6,0.07523879
68.8,0.07494418
69.0,0.07538498
69.2,0.07537082
69.4,0.07535569
69.6,0.07498233
69.8,0.07447663
70.0,0.07437388
70.2,0.07492057
70.4,0.07517947
70.6,0.07430987
70.8,0.07475257
71.0,0.07530919
71.2,0.07383732
71.4,0.07369524
71.6,0.07518519
71.8,0.07473128
72.0,0.07451076
72.2,0.07455698
72.4,0.07399586
72.6,0.07382653
72.8,0.07355686
73.0,0.07444178
73.2,0.07415209
73.4,0.07473151
73.6,0.07329805
73.8,0.07404927
74.0,0.07413058
74.2,0.07374238
74.4,0.0740868
74.6,0.07379049
74.8,0.07430683
75.0,0.07404395
75.2,0.07403487
75.4,0.07408097
75.6,0.07409539
75.8,0.07340094
76.0,0.0727853
76.2,0.07331214
76.4,0.07251073
76.6,0.07363726
76.8,0.07384829
77.0,0.07286591
77.2,0.07269028
77.4,0.07271493
77.6,0.07278639
77.8,0.07312912
78.0,0.0723703
78.2,0.07267173
78.4,0.07208754
78.6,0.07336324
78.8,0.0725577
79.0,0.07257978
79.2,0.07210984
79.4,0.07272285
79.6,0.07308599
79.8,0.07320107
80.0,0.07223977
80.2,0.07252223
80.4,0.07229261
80.6,0.0721542
80.8,0.07206606
81.0,0.07334251
81.2,0.07333586
81.4,0.07185823
81.6,0.07172748
81.8,0.07132214
82.0,0.07215749
82.2,0.07202462
82.4,0.07178962
82.6,0.07116228
82.8,0.07123335
83.0,0.07070532
83.2,0.07084253
83.4,0.07201784
83.6,0.07115061
83.8,0.07203107
84.0,0.07148003
84.2,0.07208374
84.4,0.07123786
84.6,0.07127336
84.8,0.07083118
85.0,0.07143119
85.2,0.07089162
85.4,0.07130187
85.6,0.07055566
85.8,0.07244715
86.0,0.07164559
86.2,0.07001398
86.4,0.0714952
86.6,0.07131769
