T2,A
0.1,0.0
0.11233240329780274,0.0
0.12618568830660204,0.0
0.1417474162926805,0.0
0.1592282793341092,0.0
0.1788649529057435,0.0
0.20092330025650468,0.0
0.22570197196339203,0.0
0.25353644939701114,0.0
0.2848035868435802,0.0
0.31992671377973836,0.0
0.35938136638046275,0.0
0.40370172585965547,0.0
0.4534878508128582,0.0
0.509413801481638,9.14773182030066e-06
0.5722367659350217,7.065110580436486e-05
0.6428073117284321,0.00013035696096738738
0.7220809018385463,0.0001883732034146389
0.8111308307896871,0.0002453938670298695
0.9111627561154891,0.00030272585499771114
1.0235310218990263,0.00036235471691544504
1.1497569953977356,0.00042703103412049606
1.291549665014884,0.0005003171974992226
1.4508287784959395,0.0005865027138701104
1.6297508346206444,0.0006902963192764985
1.8307382802953678,0.0008162495919212185
2.0565123083486516,0.000967954048188772
2.3101297000831593,0.001147152875019265
2.595024211399736,0.0013529776839333368
2.9150530628251756,0.0015815252508754134
3.2745491628777286,0.001825918852039732
3.678379771828632,0.002076873442007875
4.132012400115337,0.002323646392541157
4.641588833612779,0.0025551553072784656
5.214008287999684,0.0027610181755571826
5.857020818056667,0.002932326527315393
6.579332246575679,0.0030620732823415913
7.390722033525779,0.003145275677463229
8.302175681319744,0.0031789145044682143
9.326033468832199,0.0031618334684047214
10.476157527896651,0.0030947163036341412
11.768119524349979,0.0029802079671972506
13.219411484660288,0.002823185667431354
14.84968262254465,0.0026311165576257465
16.68100537200059,0.0024143605592071723
18.73817422860383,0.0021862045363512696
21.049041445120196,0.001962383685499828
23.644894126454073,0.0017598963798998626
26.560877829466868,0.0015950671281415821
29.836472402833405,0.0014810400927188494
33.51602650938841,0.001425140426887581
37.64935806792467,0.001426749085167743
42.29242874389499,0.001476418904939022
47.50810162102798,0.0015568466766113492
53.36699231206307,0.0016459746994778853
59.94842503189409,0.001721959506029041
67.34150657750821,0.001769134329029698
75.64633275546291,0.001783597402363905
84.97534359086438,0.0017768885948548359
95.45484566618337,0.001776508863652267
107.22672220103232,0.0018227718737274159
120.45035402587824,0.0019624502088671724
135.3047774579806,0.0022405584094205727
151.99110829529332,0.00269208266613413
170.73526474706904,0.0033353675466832287
191.79102616724887,0.0041682851570175004
215.44346900318845,0.005167506392438958
242.0128264794381,0.006290475813777589
271.85882427329403,0.007479276231444682
305.3855508833416,0.008665510741432821
343.04692863149194,0.009775536561611132
385.3528593710527,0.010735687050441537
432.8761281083057,0.011477355160103557
486.26015800653533,0.011941894704493939
546.2277217684342,0.012085223107631366
613.590727341317,0.01188183966786523
689.2612104349695,0.011327793946929756
774.263682681127,0.010442043692244541
869.7490026177834,0.009265711111836604
977.0099572992247,0.007859013514424282
1097.4987654930567,0.006296062841355613
1232.8467394420659,0.004658174227701218
1384.8863713938717,0.0030266441310668065
1555.6761439304723,0.0014760447126986728
1747.5284000076829,6.891540766794229e-05
1963.0406500402723,0.0
2205.1307399030457,0.0
2477.076355991709,0.0
2782.559402207126,0.0
3125.7158496882353,0.0
3511.1917342151273,0.0
3944.206059437656,0.0
4430.621457583878,0.0
4977.023564332114,0.0
5590.810182512223,0.0
6280.291441834246,0.0
7054.8023107186455,0.0
7924.82898353917,0.0
8902.150854450392,0.0
10000.0,0.0001443779943732378
